time_sow,X_m,Y_m,Z_m
172800,-6283167.9909347575,14659998.695423007,-21250440.97030152
172830,-6309449.139400106,14617810.45415175,-21272175.94693493
172860,-6336098.594285615,14575854.135666791,-21293504.122232355
172890,-6363114.317851144,14534132.96501784,-21314425.105855186
172920,-6390494.244262252,14492650.149226725,-21334938.515270874
172950,-6418236.2797499355,14451408.877042575,-21355043.97575898
172980,-6446338.302772095,14410412.318698749,-21374741.120416865
173010,-6474798.164177321,14369663.62567103,-21394029.59016534
173040,-6503613.687370792,14329165.930437256,-21412909.03375415
173070,-6532782.6684821695,14288922.346238539,-21431379.10776727
173100,-6562302.876535661,14248935.96684184,-21449439.47662813
173130,-6592172.053621942,14209209.866304222,-21467089.812604576
173160,-6622387.915072519,14169747.098738391,-21484329.795813836
173190,-6652948.1496355925,14130550.698080033,-21501159.114227165
173220,-6683850.419654407,14091623.677856555,-21517577.463674456
173250,-6715092.361247264,14052969.030957455,-21533584.547848664
173280,-6746671.584489918,14014589.729406243,-21549180.078310117
173310,-6778585.673599502,13976488.72413401,-21564363.774490584
173340,-6810832.187120637,13938668.944754707,-21579135.36369732
173370,-6843408.65811362,13901133.29934188,-21593494.581116837
173400,-6876312.594344215,13863884.674207278,-21607441.16981865
173430,-6909541.478475656,13826925.933680994,-21620974.880758744
173460,-6943092.76826245,13790259.919893334,-21634095.472783014
173490,-6976963.896746082,13753889.452558413,-21646802.71263046
173520,-7011152.27245236,13717817.328759635,-21659096.374936268
173550,-7045655.279591206,13682046.322736494,-21670976.24223482
173580,-7080470.278257542,13646579.185673688,-21682442.104962353
173610,-7115594.604634644,13611418.64549154,-21693493.761459734
173640,-7151025.571198897,13576567.406638514,-21704131.017974827
173670,-7186760.466926454,13542028.149885442,-21714353.68866493
173700,-7222796.557501953,13507803.532121416,-21724161.595598903
173730,-7259131.085528357,13473896.186151903,-21733554.56875923
173760,-7295761.2707392955,13440308.720498312,-21742532.44604393
173790,-7332684.310212629,13407043.719199607,-21751095.073268272
173820,-7369897.378585821,13374103.741615914,-21759242.304166384
173850,-7407397.62827312,13341491.322233828,-21766974.000392716
173880,-7445182.189684363,13309208.970473727,-21774290.031523317
173910,-7483248.171445462,13277259.170499042,-21781190.27505699
173940,-7521592.660620454,13245644.38102737,-21787674.6164163
173970,-7560212.72293531,13214367.035143683,-21793742.94894844
174000,-7599105.403003186,13183429.540115444,-21799395.1739259
174030,-7638267.724551538,13152834.277209584,-21804631.20054707
174060,-7677696.690650491,13122583.601511728,-21809450.945936624
174090,-7717389.28394294,13092679.841747254,-21813854.33514579
174120,-7757342.466876358,13063125.300104333,-21817841.301152464
174150,-7797553.181935737,13033922.252059208,-21821411.784861166
174180,-7838018.351878262,13005072.946203437,-21824565.735102892
174210,-7878734.879969599,12976579.604073055,-21827303.108634748
174240,-7919699.650221418,12948444.419979999,-21829623.870139483
174270,-7960909.527630429,12920669.560845586,-21831527.9922249
174300,-8002361.358418981,12893257.166036027,-21833015.45542305
174330,-8044051.970276851,12866209.347200127,-21834086.24818931
174360,-8085978.172604714,12839528.188109035,-21834740.366901375
174390,-8128136.7567586545,12813215.74449824,-21834977.815857965
174420,-8170524.496296325,12787274.043911625,-21834798.607277546
174450,-8213138.147224423,12761705.08554764,-21834202.76129677
174480,-8255974.448247129,12736510.840107903,-21833190.305968862
174510,-8299030.121016318,12711693.249647675,-21831761.277261812
174540,-8342301.870382937,12687254.227428589,-21829915.719056413
174570,-8385786.384649225,12663195.657773932,-21827653.683144208
174600,-8429480.335822929,12639519.395925518,-21824975.229225233
174630,-8473380.37987195,12616227.267903445,-21821880.424905628
174660,-8517483.15698086,12593321.070367621,-21818369.345695145
174690,-8561785.291808195,12570802.570481712,-21814442.07500446
174720,-8606283.393744893,12548673.505779507,-21810098.704142325
174750,-8650974.05717437,12526935.584033102,-21805339.33231266
174780,-8695853.861733066,12505590.483123899,-21800164.066611405
174810,-8740919.37257247,12484639.850915566,-21794573.02202329
174840,-8786167.140622206,12464085.305129377,-21788566.321418453
174870,-8831593.702854244,12443928.43322172,-21782144.09554885
174900,-8877195.582547754,12424170.792264326,-21775306.483044602
174930,-8922969.289555628,12404813.90882629,-21768053.630410183
174960,-8968911.320571402,12385859.278858842,-21760385.692020394
174990,-9015018.15939756,12367308.367582276,-21752302.830116298
175020,-9061286.277214684,12349162.609375156,-21743805.21480093
175050,-9107712.132851364,12331423.40766618,-21734893.02403488
175080,-9154292.173055397,12314092.134828009,-21725566.4436318
175110,-9201022.832765568,12297170.132073788,-21715825.667253636
175140,-9247900.53538438,12280658.70935598,-21705670.896405835
175170,-9294921.693051942,12264559.145267334,-21695102.340432383
175200,-9342082.706920136,12248872.686944703,-21684120.21651065
175230,-9389379.96742807,12233600.549974902,-21672724.749646127
175260,-9436809.85457822,12218743.918303074,-21660916.172667034
175290,-9484368.738213161,12204303.944143573,-21648694.7262188
175320,-9532052.97829336,12190281.747893097,-21636060.658758298
175350,-9579858.925175361,12176678.418046456,-21623014.226548087
175380,-9627782.919890981,12163495.011114568,-21609555.693650376
