time_sow,X_m,Y_m,Z_m
172800,13902698.198921375,20694600.833174724,9696291.33427679
172830,13916474.840484321,20645882.6236793,9781677.838933595
172860,13929830.285831582,20597054.006185442,9866880.994829237
172890,13942763.608247332,20548118.67727278,9951899.21757195
172920,13955273.913153853,20499080.341164727,10036730.92637908
172950,13967360.338174276,20449942.709448937,10121374.544103857
172980,13979022.053193554,20400709.500796817,10205828.497262035
173010,13990258.260416709,20351384.440682866,10290091.216058532
173040,14001068.194424447,20301971.26110349,10374161.134413913
173070,14011451.122226495,20252473.70029539,10458036.689990912
173100,14021406.343312792,20202895.502453405,10541716.32422071
173130,14030933.189701883,20153240.417447962,10625198.48232934
173160,14040031.02598675,20103512.20054248,10708481.613363853
173190,14048699.249378718,20053714.612109862,10791564.170218498
173220,14056937.289748412,20003851.417349104,10874444.609660786
173250,14064744.609664688,19953926.38600126,10957121.39235749
173280,14072120.70443053,19903943.292065497,11039592.982900573
173310,14079065.102117166,19853905.91351444,11121857.84983304
173340,14085577.3635954,19803818.0320094,11203914.465674676
173370,14091657.082564201,19753683.432615742,11285761.306947803
173400,14097303.885577418,19703505.90351738,11367396.854202837
173430,14102517.43206761,19653289.235731646,11448819.59204386
173460,14107297.41436772,19603037.22282355,11530028.009154044
173490,14111643.557729706,19552753.66062039,11611020.598321093
173520,14115555.62034152,19502442.346925747,11691795.856462494
173550,14119033.393341113,19452107.08123349,11772352.284650771
173580,14122076.70082783,19401751.66444207,11852688.388138603
173610,14124685.399871882,19351379.89856819,11932802.676383948
173640,14126859.380520862,19300995.586460818,12012693.663074952
173670,14128598.565804146,19250602.53151491,12092359.86615493
173700,14129902.911734369,19200204.537385553,12171799.807847176
173730,14130772.407307036,19149805.407701563,12251012.01467969
173760,14131207.074497193,19099408.945779525,12329995.017509859
173790,14131206.968253814,19049018.95433779,12408747.351549082
173820,14130772.176491685,18998639.2352105,12487267.556387244
173850,14129902.820080915,18948273.58906178,12565554.176017107
173880,14128599.05283395,18897925.815099947,12643605.758858753
173910,14126861.061489811,18847599.710792154,12721420.857783802
173940,14124689.065696519,18797299.07157873,12798998.030139532
173970,14122083.317990419,18747027.6905882,12876335.837773133
174000,14119044.10377359,18696789.35835202,12953432.84705558
174030,14115571.741288181,18646587.86252016,13030287.628905656
174060,14111666.581588944,18596426.98757628,13106898.758813784
174090,14107329.008513011,18546310.51455352,13183264.81686582
174120,14102559.438646968,18496242.220750768,13259384.387766737
174150,14097358.321292091,18446225.879448734,13335256.060864221
174180,14091726.13842658,18396265.259626813,13410878.4301722
174210,14085663.404665783,18346364.125679985,13486250.094394343
174240,14079170.667219523,18296526.237136446,13561369.656947313
174270,14072248.505847488,18246755.348375212,13636235.725984152
174300,14064897.532811867,18197055.208344467,13710846.914417427
174330,14057118.392827693,18147429.56028018,13785201.839942303
174360,14048911.76301068,18097882.141425297,13859299.12505969
174390,14040278.352822758,18048416.68274927,13933137.397099013
174420,14031218.904015254,17999036.908668168,14006715.288241204
