time_sow,X_m,Y_m,Z_m
172800,-16454491.962023202,-20940341.177172747,3225273.4282284677
172830,-16486406.17435504,-20900023.5231656,3318428.582282362
172860,-16517975.620914659,-20859439.77240281,3411522.0515819485
172890,-16549197.98712894,-20818592.908163868,3504552.1022317894
172920,-16580070.984190602,-20777485.933591727,3597517.001290981
172950,-16610592.3492298,-20736121.871470783,3690415.0168027775
172980,-16640759.845484478,-20694503.76400311,3783244.4178242413
173010,-16670571.262468256,-20652634.672583528,3876003.474455806
173040,-16700024.416136859,-20610517.677572817,3968690.457870854
173070,-16729117.149052136,-20568155.87806997,4061303.6403453713
173100,-16757847.330544636,-20525552.391682588,4153841.2952874973
173130,-16786212.856873743,-20482710.35429625,4246301.697267137
173160,-16814211.651386075,-20439632.919842258,4338683.122045604
173190,-16841841.66467206,-20396323.26006399,4430983.846605078
173220,-16869100.87472019,-20352784.56428217,4523202.1491783485
173250,-16895987.2870693,-20309020.03915854,4615336.309278292
173280,-16922498.93495906,-20265032.90845838,4707384.607727475
173310,-16948633.879478347,-20220826.412811533,4799345.326687757
173340,-16974390.209711507,-20176403.80947236,4891216.7496898165
173370,-16999766.042882252,-20131768.3720785,4982997.1616627555
173400,-17024759.52449636,-20086923.39040792,5074684.848963642
173430,-17049368.8284814,-20041872.170135267,5166278.099407046
173460,-17073592.157324877,-19996618.032586686,5257775.202294644
173490,-17097427.742209878,-19951164.314493783,5349174.4484446775
173520,-17120873.843149237,-19905514.367745798,5440474.130221574
173550,-17143928.74911697,-19859671.559141245,5531672.541565429
173580,-17166590.778177794,-19813639.27013817,5622767.978021536
173610,-17188858.277614605,-19767420.896603245,5713758.736769895
173640,-17210729.624053773,-19721019.848559707,5804643.116654726
173670,-17232203.223588176,-19674439.549934402,5895419.418213977
173700,-17253277.511898056,-19627683.438303694,5986085.9437088
173730,-17273950.954369847,-19580754.96463823,6076640.997153037
173760,-17294222.046212856,-19533657.593046654,6167082.884342663
173790,-17314089.31257332,-19486394.800518617,6257409.912885344
173820,-17333551.308646947,-19438970.076666296,6347620.3922297405
173850,-17352606.619788513,-19391386.923465468,6437712.63369508
173880,-17371253.86161992,-19343648.854995135,6527684.950500512
173910,-17389491.680135384,-19295759.397176683,6617535.657794574
173940,-17407318.751805015,-19247722.087511644,6707263.072684574
173970,-17424733.783675514,-19199540.47481902,6796865.514265976
174000,-17441735.51346925,-19151218.118971318,6886341.303651817
174030,-17458322.709680498,-19102758.59063012,6975688.764002071
174060,-17474494.171669893,-19054165.470980365,7064906.220552988
174090,-17490248.729756206,-19005442.351464286,7153992.000646486
174120,-17505585.24530613,-18956592.833514165,7242944.433759406
174150,-17520502.61082165,-18907620.52828444,7331761.851532934
174180,-17534999.75002516,-18858529.056383092,7420442.587801812
174210,-17549075.617942154,-18809322.0476023,7508984.978623684
174240,-17562729.20098169,-18760003.14064828,7597387.362308396
174270,-17575959.517014768,-18710575.98287037,7685648.0794471335
174300,-17588765.61544991,-18661044.229989596,7773765.4729418345
174330,-17601146.577306755,-18611411.545826554,7861737.888034286
174360,-17613101.515287224,-18561681.602028515,7949563.6723353965
174390,-17624629.573844355,-18511858.077795923,8037241.175854419
174420,-17635729.92924887,-18461944.659608375,8124768.751028028
174450,-17646401.789653074,-18411945.040950056,8212144.752749584
174480,-17656644.395152785,-18361862.922034472,8299367.538398253
174510,-17666457.01784681,-18311702.00952855,8386435.467868065
174540,-17675838.961893767,-18261466.016276672,8473346.903597135
174570,-17684789.56356701,-18211158.661023486,8560100.21059662
174600,-17693308.19130663,-18160783.66813702,8646693.756479898
174630,-17701394.24576965,-18110344.767330613,8733125.911491577
174660,-17709047.159877304,-18059845.693384968,8819395.04853648
174690,-17716266.398860373,-18009290.185869373,8905499.54320872
174720,-17723051.46030182,-17958681.988862686,8991437.773820654
174750,-17729401.874177005,-17908024.85067419,9077208.121431826
174780,-17735317.202891905,-17857322.52356344,9162808.96987798
174810,-17740797.041318484,-17806578.763460375,9248238.705799885
174840,-17745841.01682787,-17755797.329684798,9333495.718672318
174870,-17750448.78932085,-17704981.984665863,9418578.400832912
174900,-17754620.05125662,-17654136.49366068,9503485.147510946
174930,-17758354.52767834,-17603264.624473255,9588214.356856301
174960,-17761651.976236545,-17552370.14717309,9672764.429968147
174990,-17764512.187210497,-17501456.833813146,9757133.77092379
175020,-17766934.98352658,-17450528.458148077,9841320.78680739
175050,-17768920.220774636,-17399588.79535203,9925323.887738718
175080,-17770467.787221443,-17348641.621736616,10009141.486901851
175110,-17771577.603822507,-17297690.714468103,10092772.00057383
175140,-17772249.624230657,-17246739.851285093,10176213.848153332
175170,-17772483.834802568,-17195792.810215957,10259465.452189315
175200,-17772280.254602846,-17144853.36929606,10342525.238409558
175230,-17771638.935405713,-17093925.306284897,10425391.635749266
175260,-17770559.96169409,-17043012.398383427,10508063.076379607
175290,-17769043.45065631,-16992118.421951313,10590537.99573624
175320,-17767089.552180465,-16941247.152224038,10672814.832547776
175350,-17764698.4488464,-16890402.36303009,10754892.028864196
175380,-17761870.355914958,-16839587.826508343,10836768.030085368
175410,-17758605.521315046,-16788807.3128254,10918441.284989353
175440,-17754904.225628223,-16738064.58989305,10999910.245760795
175470,-17750766.78207084,-16687363.423085697,11081173.368019296
175500,-17746193.536473636,-16636707.574958276,11162229.110847646
175530,-17741184.86725917,-16586100.804963842,11243075.93682012
175560,-17735741.185416415,-16535546.869171834,11323712.312030721
175590,-17729862.934473433,-16485049.519986086,11404136.70612138
175620,-17723550.590467002,-16434612.505863458,11484347.592310108
175650,-17716804.66191051,-16384239.571032278,11564343.447419139
175680,-17709625.68975878,-16333934.45521149,11644122.751903044
175710,-17702014.24737081,-16283700.893329792,11723683.989876816
175740,-17693970.940470226,-16233542.615245018,11803025.64914378
175770,-17685496.407102887,-16183463.345464107,11882146.221223773
175800,-17676591.317592368,-16133466.802863285,11961044.201380957
175830,-17667256.37449297,-16083556.700408556,12039718.08865182
175860,-17657492.31254036,-16033736.744876556,12118166.385873023
175890,-17647299.89859975,-15984010.63657592,12196387.59970924
175920,-17636679.931611516,-15934382.069069155,12274380.240681011
175950,-17625633.242534723,-15884854.728894584,12352142.823192524
175980,-17614160.694288038,-15835432.295289243,12429673.865559226
176010,-17602263.18168833,-15786118.439911814,12506971.890035693
176040,-17589941.631386716,-15736916.826566495,12584035.422843153
176070,-17577197.001802567,-15687831.11092694,12660862.994197166
176100,-17564030.283054683,-15638864.940261196,12737453.138335159
176130,-17550442.49689042,-15590021.953156926,12813804.393544007
176160,-17536434.69661237,-15541305.77924721,12889915.302187463
176190,-17522007.967002608,-15492720.038937092,12965784.410733638
176220,-17507163.42424447,-15444268.343130827,13041410.269782439
176250,-17491902.215842232,-15395954.292959528,13116791.434092894
176280,-17476225.520538304,-15347781.479509592,13191926.462610452
176310,-17460134.54822806,-15299753.483551849,13266813.918494305
176340,-17443630.539872065,-15251873.875271663,13341452.369144635
176370,-17426714.76740667,-15204146.2139991,13415840.386229718
176400,-7492859.707674024,-21832671.93871557,13489977.692256484
176430,-7501220.315624842,-21782745.51065295,13563860.572463302
176460,-7509146.528432504,-21732755.863717005,13637488.75992582
176490,-7516637.796498551,-21682706.73775413,13710860.84365501
176520,-7523693.602724701,-21632601.877307843,13783975.417065302
176550,-7530313.462555439,-21582445.031337783,13856831.078001369
176580,-7536496.924018353,-21532239.952938117,13929426.428765098
176610,-7542243.567761495,-21481990.39905598,14001760.076142346
176640,-7547553.007088734,-21431700.130209185,14073830.63142974
176670,-7552424.887992573,-21381372.910203796,14145636.71046132
176700,-7556858.889184447,-21331012.505851414,14217176.933635294
176730,-7560854.722122774,-21280622.686685987,14288449.925940556
176760,-7564412.131038267,-21230207.224680588,14359454.31698332
176790,-7567530.892956929,-21179769.893963818,14430188.741013598
176820,-7570210.817720837,-21129314.47053597,14500651.836951623
176850,-7572451.748006226,-21078844.731984988,14570842.24841434
176880,-7574253.559338823,-21028364.457202394,14640758.623741683
176910,-7575616.160107653,-20977877.4260988,14710399.616022866
176940,-7576539.491575265,-20927387.41931948,14779763.883122683
176970,-7577023.527886298,-20876898.217959773,14848850.087707652
177000,-7577068.276073285,-20826413.60328032,14917656.897272168
177030,-7576673.776059929,-20775937.356422286,14986182.984164556
177060,-7575840.100662291,-20725473.258122485,15054427.025613135
177090,-7574567.355586775,-20675025.08842858,15122387.703752132
177120,-7572855.679426581,-20624596.62641408,15190063.705647612
177150,-7570705.243654917,-20574191.649893507,15257453.723323341
177180,-7568116.252616319,-20523813.93513746,15324556.453786552
177210,-7565088.943514826,-20473467.256587937,15391370.599053688
177240,-7561623.5864006365,-20423155.386573434,15457894.866176067
177270,-7557720.4841533275,-20372882.095024336,15524127.967265515
177300,-7553379.97246317,-20322651.14918848,15590068.619519897
177330,-7548602.4198099505,-20272466.313346602,15655715.545248605
177360,-7543388.227439251,-20222331.34852814,15721067.471898016
177390,-7537737.829336039,-20172250.012227163,15786123.13207682
177420,-7531651.692196182,-20122226.058118515,15850881.263581362
177450,-7525130.31539525,-20072263.235774107,15915340.609420873
177480,-7518174.230954989,-20022365.29037953,15979499.91784262
177510,-7510784.003507183,-19972535.962450888,16043357.942357073
177540,-7502960.230255202,-19922778.98755193,16106913.441762913
177570,-7494703.540933169,-19873098.096011452,16170165.18017204
177600,-7486014.597762347,-19823497.012641076,16233111.927034466
177630,-7476894.095405325,-19773979.456453398,16295752.457163205
177660,-7467342.760917816,-19724549.14038035,16358085.550759008
177690,-7457361.353697968,-19675209.7709921,16420109.993435156
177720,-7446950.665432844,-19625965.048216432,16481824.576242011
177750,-7436111.520043196,-19576818.665058218,16543228.095691724
177780,-7424844.773625131,-19527774.30731978,16604319.353782604
177810,-7413151.314389707,-19478835.653321393,16665097.158023687
177840,-7401032.06260002,-19430006.373622444,16725560.321459027
177870,-7388487.970505793,-19381290.130743094,16785707.662692055
177900,-7375520.022275763,-19332690.578886345,16845538.005909782
177930,-7362129.233927205,-19284211.3636609,16905050.180906944
177960,-7348316.653253641,-19235856.121804375,16964243.023110114
177990,-7334083.359749598,-19187628.48090725,17023115.373601742
178020,-7319430.464533479,-19139532.059137322,17081666.079144023
178050,-7304359.110267331,-19091570.46496503,17139893.992202844
178080,-7288870.471075112,-19043747.296889067,17197797.9709715
178110,-7272965.752457735,-18996066.14316307,17255376.8793945
178140,-7256646.191206342,-18948530.581522718,17312629.58719113
178170,-7239913.055312698,-18901144.178913802,17369554.969879057
178200,-7222767.643877847,-18853910.49122072,17426151.908797815
178230,-7205211.28701765,-18806833.062996075,17482419.291132208
178260,-7187245.345766575,-18759915.42719087,17538356.009935673
178290,-7168871.211978813,-18713161.10488554,17593960.96415348
178320,-7150090.308227103,-18666573.605021805,17649233.05864596
178350,-7130904.0876994515,-18620156.424135383,17704171.20421158
178380,-7111314.034092939,-18573913.046089645,17758774.31760996
178410,-7091321.661506021,-18527846.94180998,17813041.32158481
178440,-7070928.514327794,-18481961.569019236,17866971.14488679
178470,-7050136.167125173,-18436260.37197406,17920562.72229629
178500,-7028946.22452807,-18390746.781202074,17973814.994646084
178530,-7007360.321111895,-18345424.213240135,18026726.90884397
178560,-6985380.121277834,-18300296.07037358,18079297.417895302
178590,-6963007.319131006,-18255365.740376424,18131525.4809254
178620,-6940243.638356224,-18210636.596252605,18183410.063201915
178650,-6917090.832091545,-18166111.99597831,18234950.136157107
178680,-6893550.682799423,-18121795.282245353,18286144.677410025
178710,-6869625.002136024,-18077689.782205563,18336992.670788586
178740,-6845315.630817691,-18033798.807216458,18387493.106351614
178770,-6820624.438485764,-17990125.65258783,18437644.98041074
178800,-6795553.323568705,-17946673.59732972,18487447.295552246
178830,-6770104.213142377,-17903445.903901298,18536899.0606588
178860,-6744279.062788099,-17860445.81796109,18585999.290931124
178890,-6718079.856447987,-17817676.568118487,18634747.007909566
178920,-6691508.606279049,-17775141.365686186,18683141.239495534
178950,-6664567.35250417,-17732843.4044342,18731181.019972906
178980,-6637258.1632615775,-17690785.860344943,18778865.390029363
179010,-6609583.134451733,-17648971.891369656,18826193.396777514
179040,-6581544.389582638,-17607404.637186058,18873164.093776036
179070,-6553144.079612269,-17566087.218957476,18919776.541050702
179100,-6524384.382789521,-17525022.73909316,18966029.80511529
179130,-6495267.504492771,-17484214.281009994,19011922.958992366
179160,-6465795.677066323,-17443664.90889566,19057455.08223409
179190,-6435971.159655012,-17403377.667473044,19102625.260942776
179220,-6405796.238036255,-17363355.58176627,19147432.58779148
179250,-6375273.224450735,-17323601.656867895,19191876.16204441
179280,-6344404.457430379,-17284118.8777078,19235955.08957727
179310,-6313192.301624629,-17244910.208823442,19279668.48289751
179340,-6281639.147624698,-17205978.594131522,19323015.461164467
179370,-6249747.411785831,-17167326.956701256,19365995.150209423
179400,-6217519.536047292,-17128958.198529184,19408606.682555504
179430,-6184957.987750715,-17090875.20031541,19450849.197437614
179460,-6152065.259456314,-17053080.821241464,19492721.840822045
179490,-6118843.868757111,-17015577.89874978,19534223.765426256
179520,-6085296.358091421,-16978369.24832461,19575354.130738325
179550,-6051425.294552978,-16941457.663274787,19616112.103036396
179580,-6017233.269699651,-16904845.914517865,19656496.85540804
179610,-5982722.899360044,-16868536.750366,19696507.56776944
179640,-5947896.823437885,-16832532.896313623,19736143.426884558
179670,-5912757.705715152,-16796837.05482654,19775403.62638412
179700,-5877308.233652926,-16761451.905132884,19814287.36678454
179730,-5841551.118190379,-16726380.103015762,19852793.85550672
