time_sow,X_m,Y_m,Z_m
172800,21975618.10586312,-12636967.902913282,-7935592.23439015
172830,21977345.494448576,-12689256.235285738,-7844396.076799664
172860,21978615.278722115,-12741557.68332395,-7753049.724931663
172890,21979427.326348253,-12793868.221772883,-7661554.915326728
172920,21979781.540214878,-12846183.82420468,-7569913.387660136
172950,21979677.858444933,-12898500.46332733,-7478126.884709554
172980,21979116.254405472,-12950814.111293646,-7386197.152322616
173010,21978096.736714136,-13003120.740009949,-7294125.939384414
173040,21976619.349242814,-13055416.321445096,-7201914.997784927
173070,21974684.171118733,-13107696.827939326,-7109566.082386358
173100,21972291.31672257,-13159958.232513502,-7017080.95099042
173130,21969440.93568418,-13212196.509178031,-6924461.36430547
173160,21966133.212875485,-13264407.633241745,-6831709.0859136395
173190,21962368.36840052,-13316587.581621125,-6738825.882237888
173220,21958146.657583036,-13368732.333149025,-6645813.522508875
173250,21953468.37095114,-13420837.868883574,-6552673.778731914
173280,21948333.83421951,-13472900.172416726,-6459408.425653709
173310,21942743.408268616,-13524915.230183013,-6366019.24072909
173340,21936697.489121303,-13576879.03176798,-6272508.004087657
173370,21930196.50791702,-13628787.570216065,-6178876.498500345
173400,21923240.930882756,-13680636.842339005,-6085126.509345922
173430,21915831.25930174,-13732422.849023404,-5991259.824577408
173460,21907968.02947925,-13784141.595538355,-5897278.234688408
173490,21899651.812705822,-13835789.091842512,-5803183.532679407
173520,21890883.21521759,-13887361.352891298,-5708977.514023971
173550,21881662.8781541,-13938854.398943352,-5614661.976634847
173580,21871991.477513477,-13990264.255866732,-5520238.720830057
173610,21861869.724104647,-14041586.955445033,-5425709.549298897
173640,21851298.363497157,-14092818.5356827,-5331076.267067821
173670,21840278.17596813,-14143955.041110205,-5236340.681466308
173700,21828809.976446703,-14194992.523088526,-5141504.602092675
173730,21816894.614455577,-14245927.040113531,-5046569.840779757
173760,21804532.974050105,-14296754.6581195,-4951538.211560567
173790,21791725.973754596,-14347471.450782321,-4856411.530633881
173820,21778474.566495977,-14398073.499822117,-4761191.616329775
173850,21764779.73953485,-14448556.895305304,-4665880.289075051
173880,21750642.51439379,-14498917.735946072,-4570479.371358631
173910,21736063.94678318,-14549152.129407134,-4474990.687696888
173940,21721045.126524128,-14599256.192600172,-4379416.064598914
173970,21705587.177469,-14649226.051985266,-4283757.330531714
174000,21689691.257419184,-14699057.843869848,-4188016.3158853147
174030,21673358.558040347,-14748747.714706779,-4092194.8529379033
174060,21656590.30477487,-14798291.821392022,-3996294.7758207754
174090,21639387.756751806,-14847686.331561282,-3900317.9204833573
174120,21621752.206694357,-14896927.423885792,-3804266.1246580207
174150,21603684.98082442,-14946011.288367767,-3708141.227824998
174180,21585187.438764825,-14994934.126634525,-3611945.0711771403
174210,21566260.97343877,-15043692.15223219,-3515679.4975845916
174240,21546907.010967012,-15092281.590918008,-3419346.351559538
174270,21527127.01056202,-15140698.680952448,-3322947.4792207493
174300,21506922.464419868,-15188939.673389897,-3226484.7282581725
174330,21486294.897609625,-15237000.832368469,-3129959.947897408
174360,21465245.867959864,-15284878.435399199,-3033374.9888641797
174390,21443776.96594297,-15332568.773653874,-2936731.7033487144
174420,21421889.814556707,-15380068.152252087,-2840031.944970081
174450,21399586.069203433,-15427372.89054708,-2743277.568740488
174480,21376867.417566527,-15474479.322410865,-2646470.431029534
174510,21353735.579484556,-15521383.796517981,-2549612.389528352
174540,21330192.306822944,-15568082.676628165,-2452705.303213802
174570,21306239.383342892,-15614572.341868212,-2355751.0323125175
174600,21281878.624568094,-15660849.187012397,-2258751.438264985
174630,21257111.877648816,-15706909.622761864,-2161708.38368949
174660,21231941.02122372,-15752750.0760227,-2064623.7323461168
174690,21206367.965278827,-15798366.990183285,-1967499.3491006056
174720,21180394.651004516,-15843756.825389728,-1870337.0998882363
174750,21154023.05064988,-15888916.058820486,-1773138.8516776308
174780,21127255.16737449,-15933841.18495978,-1675906.4724344967
174810,21100093.03509805,-15978528.715869477,-1578641.8310853902
174840,21072538.71834748,-16022975.181459874,-1481346.797481382
174870,21044594.312101714,-16067177.129758859,-1384023.2423616687
174900,21016261.941633955,-16111131.127180204,-1286673.0373172185
174930,20987543.762351695,-16154833.758790078,-1189298.0547542966
174960,20958441.95963451,-16198281.628572207,-1091900.1678579967
174990,20928958.74866914,-16241471.359691944,-994481.250555702
175020,20899096.374282595,-16284399.594758531,-897043.1774805528
175050,20868857.110772744,-16327062.996086147,-799587.8239348507
175080,20838243.261736847,-16369458.245953264,-702117.0658533814
175110,20807257.159897402,-16411582.046860822,-604632.7797668064
175140,20775901.166925907,-16453431.121788748,-507136.84276492393
175170,20744177.673264712,-16495002.214450607,-409631.13245993515
175200,20712089.097945902,-16536292.089547344,-312117.5269497017
175230,20679637.888408564,-16577297.533018926,-214597.90478087805
175260,20646826.52031349,-16618015.352294689,-117074.14491214801
175290,20613657.49735587,-16658442.376541762,-19548.126677306773
175320,20580133.351075567,-16698575.456912318,77978.27025159792
175350,20546256.640665404,-16738411.466788732,175503.1659012355
175380,20512029.95277718,-16777947.302027334,273024.68003391067
175410,20477455.901325677,-16817179.88120025,370540.9321845657
175440,20442537.127290227,-16856106.145835847,468050.0416977891
175470,20407276.298514437,-16894723.06065718,565550.1277648627
175500,20371676.109503802,-16933027.613818686,663039.3094608044
175530,20335739.28122094,-16971016.817141373,760515.7057814803
175560,20299468.560879093,-17008687.70634591,857977.435680702
175590,20262866.72173324,-17046037.341284256,955422.618107358
175620,20225936.562869594,-17083062.806168918,1052849.3720425921
175650,20188680.90899258,-17119761.209801048,1150255.8165369856
175680,20151102.610210057,-17156129.685796227,1247640.0707477278
175710,20113204.54181664,-17192165.392808404,1345000.2539758554
175740,20074989.604074728,-17227865.514752172,1442334.4857035293
175770,20036460.721993834,-17263227.26102294,1539640.885631227
175800,19997620.84510782,-17298247.866715223,1636917.5737150789
175830,19958472.947250385,-17332924.592838872,1734162.6702041165
175860,19919020.026328295,-17367254.726533666,1831374.2956776326
175890,19879265.104093038,-17401235.581281602,1928550.5710824595
175920,19839211.225910522,-17434864.497117165,2025689.6177703433
175950,19798861.460528743,-17468138.84083595,2122789.5575352833
175980,19758218.8998438,-17501056.00620086,2219848.512650909
176010,19717286.658663996,-17533613.41414644,2316864.6059078346
176040,19676067.87447212,-17565808.512981094,2413835.9606510797
176070,19634565.70718598,-17597638.77858727,2510760.7008174676
176100,19592783.3389171,-17629101.714619536,2607636.950973018
176130,19550723.973727785,-17660194.852700375,2704462.836350362
176160,19508390.837386217,-17690915.75261422,2801236.4828862073
176190,19465787.177120056,-17721262.002498977,2897956.0172587344
176220,19422916.261368204,-17751231.219035596,2994619.566925045
176250,19379781.379531074,-17780821.047635287,3091225.2601586278
176280,19336385.84171885,-17810029.162624836,3187771.2260867744
176310,19292732.97849842,-17838853.267429475,3284255.594728065
176340,19248826.140638676,-17867291.094753474,3380676.4970298163
176370,19204668.69885388,-17895340.406758808,3477032.064905544
176400,19160264.043545846,-17922998.995241303,3573320.4312723977
176430,25538298.100316714,-5950974.282332223,3669539.307673927
176460,25512924.101515748,-5996725.773840135,3765687.6704986733
176490,25487146.01095643,-6042252.349555365,3861763.2371095256
176520,25460965.781698946,-6087550.465184965,3957764.144814474
176550,25434385.39798129,-6132616.59360098,4053688.532112445
176580,25407406.875069458,-6177447.225115493,4149534.53873074
176610,25380032.259105444,-6222038.867753204,4245300.305662497
176640,25352263.626952652,-6266388.047523659,4340983.975204125
176670,25324103.08603898,-6310491.308691373,4436583.690992744
176700,25295552.774197496,-6354345.214045084,4532097.598043589
176730,25266614.859504677,-6397946.345165574,4627523.842787447
176760,25237291.540116433,-6441291.302691707,4722860.573108037
176790,25207585.044101585,-6484376.706585379,4818105.938379451
176820,25177497.629273146,-6527199.196395107,4913258.089503503
176850,25147031.5830172,-6569755.4315176625,5008315.1789471125
176880,25116189.222119477,-6612042.091458686,5103275.360779677
176910,25084972.892589636,-6654055.876091523,5198136.7907104
176940,25053384.969483227,-6695793.505914726,5292897.626125659
176970,25021427.85672139,-6737251.722307855,5387556.026126283
177000,24989103.98690839,-6778427.287785399,5482110.151564887
177030,24956415.82114666,-6819316.986249955,5576558.165083152
177060,24923365.848849818,-6859917.623243013,5670898.231149082
177090,24889956.587553468,-6900226.026194073,5765128.516094263
177120,24856190.582723554,-6940239.044668952,5859247.188151083
177150,24822070.407562874,-6979953.550615337,5953252.417489958
177180,24787598.662815068,-7019366.438607525,6047142.376256512
177210,24752777.976566695,-7058474.626088794,6140915.238608723
177240,24717611.004047062,-7097275.053612404,6234569.180754113
177270,24682100.42742581,-7135764.685080968,6328102.380986818
177300,24646248.955608707,-7173940.50798336,6421513.019724707
177330,24610059.324030884,-7211799.533630855,6514799.279546447
177360,24573534.294448353,-7249338.797390618,6607959.34522854
177390,24536676.654727325,-7286555.358917626,6700991.403782335
177420,24499489.218631435,-7323446.302384829,6793893.644491038
177450,24461974.825606935,-7360008.736711569,6886664.258946616
177480,24424136.34056595,-7396239.79578962,6979301.441086787
177510,24385976.653667614,-7432136.638707859,7071803.387231864
177540,24347498.680097304,-7467696.449974693,7164168.296121633
177570,24308705.359843813,-7502916.439738759,7256394.368952211
177600,24269599.657474622,-7537793.844007557,7348479.809412794
177630,24230184.56190935,-7572325.924863791,7440422.823722454
177660,24190463.08619094,-7606509.970680601,7532221.620666861
177690,24150438.26725533,-7640343.296333763,7623874.411634936
177720,24110113.165699013,-7673823.243412475,7715379.410655573
177750,24069490.86554473,-7706947.180428115,7806734.834434193
177780,24028574.47400546,-7739712.503020463,7897938.902389331
177810,23987367.121246357,-7772116.634162502,7988989.836689194
177840,23945871.96014512,-7804157.0243625045,8079885.862288133
177870,23904092.16605035,-7835831.151864398,8170625.206963112
177900,23862030.936538182,-7867136.522846109,8261206.101350088
177930,23819691.491167378,-7898070.671615056,8351626.778980423
177960,23777077.07123225,-7928631.160802575,8441885.476317164
177990,23734190.93951425,-7958815.5815552855,8531980.432791328
178020,23691036.380031712,-7988621.553724515,8621909.890838167
178050,23647616.697787855,-8018046.72605374,8711672.095933298
178080,23603935.218517233,-8047088.776363549,8801265.296628866
178110,23559995.28843041,-8075745.411734589,8890687.744589638
178140,23515800.273957126,-8104014.368688143,8979937.694629023
178170,23471353.56148789,-8131893.413364149,9069013.404745046
178200,23426658.557113774,-8159380.341697726,9157913.136156326
178230,23381718.686364844,-8186472.979592727,9246635.153337905
178260,23336537.393947076,-8213169.183092906,9335177.724057114
178290,23291118.143477477,-8239466.8385516275,9423539.119409328
178320,23245464.417218022,-8265363.8627981525,9511717.613853676
178350,23199579.715807896,-8290858.203302485,9599711.485248746
178380,23153467.557994377,-8315947.838337187,9687519.014888119
178410,23107131.480362248,-8340630.777137216,9775138.487535989
178440,23060575.03706167,-8364905.060057462,9862568.191462597
178470,23013801.799535,-8388768.758727225,9949806.418479703
178500,22966815.356241748,-8412219.976203293,10036851.463975925
178530,22919619.312382534,-8435256.847119782,10123701.62695205
178560,22872217.289621655,-8457877.537835773,10210355.210056292
178590,22824612.925808184,-8480080.246580664,10296810.519619461
178620,22776809.874695934,-8501863.203596896,10383065.865690073
178650,22728811.805662002,-8523224.671280362,10469119.562069438
178680,22680622.40342429,-8544162.944318064,10554969.926346606
178710,22632245.36775756,-8564676.349823527,10640615.279933302
178740,22583684.413208388,-8584763.247469729,10726053.94809879
178770,22534943.268808924,-8604422.029619344,10811284.260004636
178800,22486025.677789595,-8623651.121452305,10896304.54873944
178830,22436935.3972904,-8642448.98109154,10981113.151353473
178860,22387676.19807138,-8660814.099725258,11065708.408893233
178890,22338251.86422187,-8678745.001727255,11150088.66643599
178920,22288666.192868557,-8696240.244774632,11234252.273124166
178950,22238922.99388279,-8713298.419962533,11318197.582199708
178980,22189026.08958651,-8729918.151916906,11401922.951038383
179010,22138979.314457543,-8746098.098903893,11485426.74118395
179040,22088786.514833517,-8761836.952937532,11568707.31838233
179070,22038451.548615135,-8777133.439884197,11651763.052615613
179100,21987978.28496849,-8791986.319564313,11734592.318136046
179130,21937370.604026195,-8806394.385852203,11817193.493499942
179160,21886632.396587934,-8820356.466772567,11899564.961601468
179190,21835767.563820034,-8833871.424594507,11981705.109706393
179220,21784780.016954143,-8846938.15592306,12063612.329485744
179250,21733673.676985204,-8859555.59178796,12145285.017049355
179280,21682452.47436846,-8871722.697729819,12226721.572979357
179310,21631120.34871593,-8883438.473883353,12307920.40236361
179340,21579681.248491958,-8894701.955058262,12388879.914828954
179370,21528139.130708013,-8905512.21081736,12469598.524574516
179400,21476497.960617006,-8915868.345551746,12550074.65040478
179430,21424761.711406715,-8925769.49855356,12630306.715762705
179460,21372934.3638926,-8935214.844086029,12710293.148762636
179490,21321019.90621016,-8944203.591450475,12790032.382223241
179520,21269022.333506387,-8952734.9850511,12869522.853700235
179550,21216945.64763095,-8960808.304456536,12948763.005519116
179580,21164793.856826637,-8968422.864458986,13027751.284807775
179610,21112570.975419246,-8975578.015130743,13106486.143528968
179640,21060281.023507215,-8982273.141877333,13184966.038512774
179670,21007928.026650384,-8988507.665488824,13263189.4314889
179700,20955516.015558627,-8994281.042187713,13341154.789118892
179730,20903049.025779955,-8999592.763674151,13418860.58302833
179760,20850531.097388126,-9004442.357168682,13496305.289838782
179790,20797966.274669975,-9008829.38545198,13573487.391199786
179820,20745358.60581228,-9012753.44690202,13650405.373820689
179850,20692712.142588466,-9016214.17552818,13727057.72950237
179880,20640030.940044817,-9019211.241002817,13803442.955168903
179910,20587319.05618646,-9021744.348690119,13879559.552899059
179940,20534580.551663127,-9023813.23967202,13955406.029957777
179970,20481819.48945474,-9025417.6907711,14030980.898827469
180000,20429039.93455653,-9026557.514571486,14106282.677239278
180030,20376245.95366428,-9027232.55943607,14181309.888204182
180060,20323441.61485924,-9027442.709521461,14256061.060044015
180090,20270630.98729285,-9027187.884790167,14330534.72642239
180120,20217818.14087156,-9026468.041019563,14404729.426375503
180150,20165007.145941276,-9025283.169808727,14478643.70434283
180180,20112202.07297212,-9023633.298581641,14552276.110197721
180210,20059406.99224268,-9021518.490588585,14625625.199277878
180240,20006625.973524638,-9018938.84490396,14698689.532415746
180270,19953863.085767336,-9015894.496421468,14771467.675968733
180300,19901122.396782123,-9012385.615846988,14843958.2018494
180330,19848407.972927105,-9008412.409687929,14916159.687555468
180360,19795723.878791742,-9003975.120240472,14988070.716199784
180390,19743074.176881697,-8999074.025573459,15059689.87654007
180420,19690462.927303754,-8993709.439509824,15131015.76300868
180450,19637894.18745084,-8987881.711605322,15202046.975742124
180480,19585372.011687398,-8981591.227124013,15272782.120610585
180510,19532900.451034807,-8974838.40701145,15343219.809247218
180540,19480483.55285708,-8967623.707864907,15413358.6590774
180570,19428125.360546917,-8959947.621900659,15483197.293347858
180600,19375829.913211912,-8951810.6769187,15552734.341155604
180630,19323601.245361097,-8943213.436264716,15621968.437476879
180660,19271443.386591934,-8934156.498788984,15690898.22319583
180690,19219360.36127743,-8924640.498802926,15759522.345133193
180720,19167356.188254014,-8914666.106032368,15827839.456074767
180750,19115434.88050931,-8904234.025568655,15895848.21479981
180780,19063600.444870766,-8893344.99781657,15963547.28610928
180810,19011856.88169469,-8881999.798439369,16030935.340853993
180840,18960208.18455545,-8870199.238301717,16098011.055962605
180870,18908658.339935523,-8857944.163409226,16164773.114469511
180900,18857211.326915987,-8845235.45484543,16231220.205542602
180930,18805871.116867453,-8832074.028706208,16297351.024510866
180960,18754641.673141718,-8818460.836031243,16363164.272891931
180990,18703526.950763837,-8804396.862733,16428658.658419382
181020,18652530.896125123,-8789883.129522607,16493832.895070044
181050,18601657.4466765,-8774920.69183334,16558685.703091074
181080,18550910.53062264,-8759510.63974141,16623215.809026932
181110,18500294.06661687,-8743654.097883679,16687421.945746234
181140,18449811.963456765,-8727352.22537307,16751302.852468481
181170,18399468.11978034,-8710606.215711199,16814857.274790604
181200,18349266.42376329,-8693417.296698038,16878083.964713447
181230,18299210.75281681,-8675786.730339257,16940981.68066805
181260,18249304.97328627,-8657715.812750801,17003549.18754183
181290,18199552.94015087,-8639205.874060526,17065785.25670465
181320,18149958.49672391,-8620258.278307691,17127688.666034676
181350,18100525.47435431,-8600874.423339114,17189258.199944172
181380,18051257.692128632,-8581055.740703475,17250492.64940512
181410,18002158.956574302,-8560803.695542388,17311390.811974704
181440,17953233.061363876,-8540119.786478866,17371951.491820667
181470,17904483.78701994,-8519005.545503736,17432173.4997465
181500,17855914.90062139,-8497462.53785866,17492055.653216556
