time_sow,X_m,Y_m,Z_m
172800,-4753481.837364558,25953084.274046175,1315998.4142123046
172830,-4705521.361893244,25966307.259254422,1219605.5717675725
172860,-4657445.562314994,25979101.814368308,1123188.9898975089
172890,-4609258.205110027,25991466.93020894,1026750.544719096
172920,-4560963.065554535,26003401.63088324,930292.1128739382
172950,-4512563.927426938,26014904.973861147,833815.5714900285
172980,-4464064.582713574,26025976.05005005,737322.7981433425
173010,-4415468.831314159,26036613.983866695,640815.6708195359
173040,-4366780.480745887,26046817.93330654,544296.0678755558
173070,-4318003.3458478665,26056587.090010285,447765.8680012872
173100,-4269141.248483852,26065920.679328073,351226.9501811298
173130,-4220198.017245274,26074817.960380826,254681.1936555982
173160,-4171177.4871536926,26083278.22611901,158130.47788294224
173190,-4122083.4993619346,26091300.803378854,61576.68250064911
173220,-4072919.9008557918,26098885.052935764,-34978.31271291869
173250,-4023690.5441543376,26106030.369555295,-131532.62787703917
173280,-3974399.2870107386,26112736.182041224,-228084.3830470575
173310,-3925049.992111458,26119001.95328122,-324631.69825283915
173340,-3875646.526776254,26124827.180289667,-421172.6935372864
173370,-3826192.7626570403,26130211.3942479,-517705.48899476347
173400,-3776692.5754365125,26135154.160541814,-614228.2048096133
173430,-3727149.844526856,26139655.07879669,-710738.9612946365
173460,-3677568.452767438,26143713.78290949,-807235.8789295754
173490,-3627952.28612317,26147329.941078346,-903717.0783995976
173520,-3578305.2333814963,26150503.255829465,-1000180.6806338272
173550,-3528631.1858499465,26153233.46404133,-1096624.8068437625
173580,-3478934.037053601,26155520.33696618,-1193047.5785618532
173610,-3429217.682431362,26157363.680248853,-1289447.117679922
173640,-3379486.0190333207,26158763.33394293,-1385821.5464876886
173670,-3329742.9452169063,26159719.17252423,-1482168.9877112324
173700,-3279992.3603439666,26160231.104901474,-1578487.5645514675
173730,-3230238.1644765753,26160299.074424498,-1674775.4007226606
173760,-3180484.2580738654,26159923.058889546,-1771030.6204908255
173790,-3130734.5416881936,26159103.070542023,-1867251.3487122273
173820,-3080992.9156613033,26157839.156076506,-1963435.7108718255
173850,-3031263.2798209423,26156131.396634024,-2059581.8331216902
173880,-2981549.5331768296,26153979.907796744,-2155687.842319494
173910,-2931855.5736175384,26151384.839579873,-2251751.8660668316
173940,-2882185.2976064277,26148346.37642093,-2347772.0327477166
173970,-2832542.5998785077,26144864.737166315,-2443746.4715669295
174000,-2782931.373137191,26140940.17505517,-2539673.3125884
174030,-2733355.507750995,26136572.977700576,-2635550.6867735675
174060,-2683818.8914506864,26131763.467068046,-2731376.7260197653
174090,-2634325.4090262135,26126511.999451388,-2827149.5631984756
174120,-2584878.9420247176,26120818.965445776,-2922867.3321937313
174150,-2535483.368447531,26114684.78991827,-3018528.1679403554
174180,-2486142.5624486743,26108109.931975573,-3114130.206462214
174210,-2436860.394032722,26101094.88492915,-3209671.5849105227
174240,-2387640.7287536766,26093640.176257614,-3305150.441602063
174270,-2338487.4274137113,26085746.36756657,-3400564.9160573566
174300,-2289404.345762286,26077414.05454567,-3495913.149038904
174330,-2240395.3341962714,26068643.86692303,-3591193.2825892814
174360,-2191464.237459449,26059436.46841704,-3686403.460069338
174390,-2142614.894343305,26049792.556685485,-3781541.826196248
174420,-2093851.1373880678,26039712.86327197,-3876606.527081654
174450,-2045176.7925839731,26029198.15354979,-3971595.710269649
174480,-1996595.679073318,26018249.226663083,-4066507.524774833
174510,-1948111.6088527378,26006866.91546535,-4161340.121120351
174540,-1899728.3864766778,25995052.086455405,-4256091.65137575
174570,-1851449.8087604041,25982805.63971062,-4350760.269195
174600,-1803279.6644847477,25970128.508817554,-4445344.129854358
174630,-1755221.734100507,25957021.660800014,-4539841.390290228
174660,-1707279.7894342411,25943486.096044496,-4634250.209136976
174690,-1659457.5933943042,25929522.848222926,-4728568.746764765
174720,-1611758.8996774552,25915132.98421295,-4822795.1653172625
174750,-1564187.4524769373,25900317.60401548,-4916927.628749379
174780,-1516746.9861901691,25885077.84066977,-5010964.302864947
174810,-1469441.2251281028,25869414.860165842,-5104903.355354347
174840,-1422273.8832251318,25853329.86135436,-5198742.955832137
174870,-1375248.6637495733,25836824.07585393,-5292481.2758745765
174900,-1328369.259015231,25819898.76795584,-5386116.489057144
174930,-1281639.350093509,25802555.234526265,-5479646.770992023
174960,-1235062.6065271362,25784794.80490589,-5573070.299365564
174990,-1188642.6860435414,25766618.840807047,-5666385.253975538
175020,-1142383.2342705475,25748028.73620823,-5759589.816768652
175050,-1096287.884451826,25729025.917246237,-5852682.171877698
175080,-1050360.257164197,25709611.84210566,-5945660.505658861
175110,-1004603.9600353767,25689788.000905916,-6038523.0067288615
175140,-959022.5874627843,25669555.915585823,-6131267.866002186
175170,-913619.7203339259,25648917.13978565,-6223893.2767280685
175200,-868398.9257468996,25627873.2587267,-6316397.434527632
175230,-823363.7567327279,25606425.88908842,-6408778.53743078
175260,-778517.7519786824,25584576.678883035,-6501034.785913238
175290,-733864.4355523763,25562327.307327833,-6593164.3829333335
175320,-689407.3166273688,25539679.484714855,-6685165.533968889
175350,-645149.8892095638,25516634.952278286,-6777036.4470539475
175380,-601095.6318653198,25493195.48205938,-6868775.3328155195
175410,-557248.007450264,25469362.876768954,-6960380.404510237
175440,-513610.4628395913,25445138.969647586,-7051849.878060892
175470,-470186.4286594335,25420525.624323264,-7143181.972093057
175500,-426979.3190198196,25395524.73466683,-7234374.90797148
175530,-383992.53124867566,25370138.224644985,-7325426.909836595
175560,-341229.4456269387,25344368.048170887,-7416336.20464074
175590,-298693.42512562964,25318216.188952554,-7507101.022184573
175620,-256387.81514371932,25291684.660338804,-7597719.595153241
175650,-214315.94324739277,25264775.505162966,-7688190.159152503
175680,-172481.11891120672,25237490.79558423,-7778510.952744908
175710,-130886.63326007873,25209832.632926784,-7868680.217485745
175740,-89535.7588130869,25181803.147516597,-7958696.197959041
175770,-48431.749228419736,25153404.498515964,-8048557.141813463
175800,-7577.839050207287,25124638.873755842,-8138261.29979808
175830,33022.75654350314,25095508.489565883,-8227806.925798181
175860,73366.84199107997,25066015.590602294,-8317192.276870924
175890,113451.24159633275,25036162.449673463,-8406415.613280917
175920,153272.79977550823,25005951.36756339,-8495475.198535819
175950,192828.38130317442,24975384.672852926,-8584369.299421743
175980,232114.8715564711,24944464.721738912,-8673096.186038665
176010,271129.1767573422,24913193.897851054,-8761654.131835746
176040,309868.2242135834,24881574.612066742,-8850041.413646506
176070,348328.96255814284,24849609.30232368,-8938256.311724102
176100,386508.3619864872,24817300.433430538,-9026297.109776264
176130,424403.4144925866,24784650.496875286,-9114162.095000409
176160,462011.1341030393,24751662.01063171,-9201849.558118492
176190,499328.55710962974,24718337.518963594,-9289357.793411896
176220,536352.7422998194,24684679.592227127,-9376685.098756151
176250,573080.771185806,24650690.826671038,-9463829.775655638
176280,609509.7482316131,24616373.844234858,-9550790.129278166
176310,645636.8010786232,24581731.29234517,-9637564.468489485
176340,681459.0807688115,24546765.84370976,-9724151.105887737
176370,716973.7619666671,24511480.19610997,-9810548.35783773
176400,752178.0431790743,24475877.07219094,-9896754.544505283
176430,-11569251.29047027,21542597.517237008,-9982767.971502425
176460,-11521173.257213984,21528578.08110268,-10068586.996379074
176490,-11473215.997888677,21514131.400314786,-10154209.939618187
176520,-11425383.265737202,21499258.55967097,-10239635.136934055
176550,-11377678.8043678,21483960.6770391,-10324860.928011844
176580,-11330106.347462747,21468238.90327055,-10409885.656541312
176610,-11282669.618488204,21452094.42211079,-10494707.670250416
176640,-11235372.330404453,21435528.450107463,-10579325.320938863
176670,-11188218.185377544,21418542.236515734,-10663736.96451152
176700,-11141210.874491109,21401137.063201413,-10747940.961011788
176730,-11094354.077459563,21383314.244541213,-10831935.674654871
176760,-11047651.462341918,21365075.127320707,-10915719.473860867
176790,-11001106.68525679,21346421.090629563,-10999290.731287854
176820,-10954723.390097968,21327353.545754433,-11082647.823864881
176850,-10908505.208251255,21307873.93606928,-11165789.132824779
176880,-10862455.758312322,21287983.736923054,-11248713.043736957
176910,-10816578.64580521,21267684.455525186,-11331417.946540033
176940,-10770877.462902289,21246977.63082826,-11413902.235574458
176970,-10725355.788144957,21225864.8334085,-11496164.309614884
177000,-10680017.186165776,21204347.665343516,-11578202.5719026
177030,-10634865.207411055,21182427.760087945,-11660015.43017774
177060,-10589903.387865324,21160106.782346286,-11741601.29671146
177090,-10545135.248776577,21137386.427943446,-11822958.588337999
177120,-10500564.296382438,21114268.42369305,-11904085.726486558
177150,-10456194.021637969,21090754.52726303,-11984981.137213213
177180,-10412027.89994438,21066846.527038977,-12065643.251232605
177210,-10368069.390879203,21042546.24198508,-12146070.503949545
177240,-10324321.937927352,21017855.521502703,-12226261.335490566
177270,-10280788.968213787,20992776.24528657,-12306214.190735321
177300,-10237473.892237462,20967310.32317852,-12385927.51934788
177330,-10194380.103606215,20941459.69501909,-12465399.775807867
177360,-10151510.978773473,20915226.330496598,-12544629.41944161
177390,-10108869.87677583,20888612.228994053,-12623614.914453072
177420,-10066460.1389726,20861619.41943352,-12702354.729954679
177450,-10024285.088786107,20834249.960118495,-12780847.3399981
177480,-9982348.031443726,20806505.938573774,-12859091.223604836
