time_sow,X_m,Y_m,Z_m
172800,-15656154.886222204,16425169.404008813,-13969587.160751007
172830,-15671209.13880776,16470166.757520877,-13896823.561770659
172860,-15685871.884658076,16515297.101120666,-13823796.392242376
172890,-15700141.929756053,16560556.961170528,-13750506.994816404
172920,-15714018.110304147,16605942.853393717,-13676956.717509339
172950,-15727499.292820318,16651451.283137936,-13603146.91368257
172980,-15740584.374231867,16697078.745639661,-13529078.94202071
173010,-15753272.281966971,16742821.726289317,-13454754.166509869
173040,-15765561.974043757,16788676.700897396,-13380173.956415785
173070,-15777452.439157613,16834640.135961052,-13305339.68626182
173100,-15788942.696765272,16880708.488932118,-13230252.735806894
173130,-15800031.79716758,16926878.20848524,-13154914.490023203
173160,-15810718.82158923,16973145.73478722,-13079326.339073882
173190,-15821002.88225651,17019507.499766927,-13003489.678290505
173220,-15830883.122472614,17065959.927385952,-12927405.90815048
173250,-15840358.716690488,17112499.433910094,-12851076.43425429
173280,-15849428.870583778,17159122.428181104,-12774502.66730265
173310,-15858092.821114661,17205825.311889805,-12697686.023073494
173340,-15866349.836600136,17252604.479849137,-12620627.922398873
173370,-15874199.216775322,17299456.320268266,-12543329.791141702
173400,-15881640.292854732,17346377.215027127,-12465793.0601724
173430,-15888672.427591056,17393363.539951585,-12388019.165345384
173460,-15895295.015331382,17440411.665089272,-12310009.54747547
173490,-15901507.482071552,17487517.954985533,-12231765.652314125
173520,-15907309.285507351,17534678.768960603,-12153288.930525564
173550,-15912699.915084,17581890.461386606,-12074580.83766284
173580,-15917678.89204285,17629149.381965376,-11995642.834143631
173610,-15922245.769465756,17676451.876006715,-11916476.385226067
173640,-15926400.132317053,17723794.28470695,-11837082.960984342
173670,-15930141.597483017,17771172.94542819,-11757464.036284214
173700,-15933469.813809244,17818584.191977426,-11677621.090758437
173730,-15936384.462134942,17866024.354886763,-11597555.60878195
173760,-15938885.255325506,17913489.761693295,-11517269.079447087
173790,-15940971.93830217,17960976.737219755,-11436762.99653857
173820,-15942644.288069434,18008481.6038553,-11356038.858508391
173850,-15943902.113740003,18056000.681836586,-11275098.168450601
173880,-15944745.25655713,18103530.28952929,-11193942.434075942
173910,-15945173.589914933,18151066.743709408,-11112573.167686388
173940,-15945187.019375602,18198606.3598455,-11030991.886149548
173970,-15944785.482684843,18246145.452380396,-10949200.110872934
174000,-15943968.949784247,18293680.335013703,-10867199.367778134
174030,-15942737.422821822,18341207.320983864,-10784991.187274836
174060,-15941090.936159454,18388722.723350994,-10702577.104234764
174090,-15939029.556378143,18436222.855279453,-10619958.65796547
174120,-15936553.382281177,18483704.03032034,-10537137.392183978
174150,-15933662.544893973,18531162.562694687,-10454114.854990374
174180,-15930357.207462348,18578594.767576024,-10370892.598841228
174210,-15926637.565447578,18625996.961373486,-10287472.180522902
174240,-15922503.846519724,18673365.462014444,-10203855.161124729
174270,-15917956.310547598,18720696.58922775,-10120043.106012119
174300,-15912995.249587089,18767986.664826367,-10036037.584799489
174330,-15907620.987866655,18815232.012990106,-9951840.171323095
174360,-15901833.881770112,18862428.960548636,-9867452.443613745
174390,-15895634.319817316,18909573.8372639,-9782875.983869417
174420,-15889022.722642308,18956662.97611267,-9698112.378427729
174450,-15881999.542968994,19003692.713568807,-9613163.21773826
174480,-15874565.265583917,19050659.38988575,-9528030.096334843
174510,-15866720.407307286,19097559.349378273,-9442714.612807652
174540,-15858465.51696109,19144388.940704282,-9357218.369775241
174570,-15849801.175334658,19191144.517146647,-9271542.973856403
174600,-15840727.99514801,19237822.436894327,-9185690.035641942
174630,-15831246.621012688,19284419.063323475,-9099661.169666361
174660,-15821357.729390131,19330930.765278086,-9013457.994379368
174690,-15811062.028547252,19377353.917350758,-8927082.132117305
174720,-15800360.25851009,19423684.900162514,-8840535.209074477
174750,-15789253.19101478,19469920.100642573,-8753818.855274327
174780,-15777741.62945576,19516055.912307926,-8666934.704540508
174810,-15765826.408831965,19562088.735542163,-8579884.394467862
174840,-15753508.39569043,19608014.977873996,-8492669.566393266
174870,-15740788.488067463,19653831.05425532,-8405291.865366371
174900,-15727667.61542703,19699533.387339093,-8317752.940120198
174930,-15714146.738597326,19745118.407756187,-8230054.443041692
174960,-15700226.849704392,19790582.554392185,-8142198.030142069
174990,-15685908.972103555,19835922.274663407,-8054185.361027149
175020,-15671194.160308238,19881134.02479259,-7966018.098867483
175050,-15656083.49991664,19926214.270083684,-7877697.910368456
175080,-15640578.107535705,19971159.485196333,-7789226.465740192
175110,-15624679.130702827,20015966.154419627,-7700605.438667429
175140,-15608387.74780509,20060630.771945197,-7611836.506279216
175170,-15591705.167996118,20105149.84213972,-7522921.349118578
175200,-15574632.631110555,20149519.87981662,-7433861.65111197
175230,-15557171.407575976,20193737.410507277,-7344659.099538698
175260,-15539322.798322745,20237798.97073123,-7255315.3850002345
175290,-15521088.134691153,20281701.10826584,-7165832.201389347
175320,-15502468.77833631,20325440.382415175,-7076211.245859227
175350,-15483466.12113074,20369013.364277966,-6986454.218792432
175380,-15464081.585064316,20412416.63701503,-6896562.8237697175
175410,-15444316.622142455,20455646.796115372,-6806538.767538867
175440,-15424172.71428103,20498700.449662093,-6716383.7599832425
175470,-15403651.373199854,20541574.21859682,-6626099.514090395
175500,-15382754.14031323,20584264.73698364,-6535687.745920485
175530,-15361482.586618425,20626768.652271915,-6445150.174574592
175560,-15339838.312581744,20669082.625558242,-6354488.522162976
175590,-15317822.948022138,20711203.33184754,-6263704.513773155
175620,-15295438.151993029,20753127.46031282,-6172799.8774379855
175650,-15272685.61266097,20794851.714554522,-6081776.344103515
175680,-15249567.047182884,20836372.81285827,-5990635.647596847
175710,-15226084.201580454,20877687.488451947,-5899379.524593837
175740,-15202238.850612415,20918792.489761554,-5808009.714586683
175770,-15178032.797644667,20959684.58066606,-5716527.959851467
175800,-15153467.874517774,21000360.540751226,-5624936.005415559
175830,-15128545.941412918,21040817.165561907,-5533235.599024917
175860,-15103268.88671464,21081051.266853943,-5441428.491111301
175890,-15077638.626872253,21121059.672844127,-5349516.434759399
175920,-15051657.106258474,21160839.22845949,-5257501.185673815
175950,-15025326.297026059,21200386.795585226,-5165384.502146032
175980,-14998648.1989622,21239699.253311317,-5073168.145021171
176010,-14971624.839340564,21278773.498178184,-4980853.877664759
176040,-14944258.272771679,21317606.444420636,-4888443.465929363
176070,-14916550.58105028,21356195.024211083,-4795938.678121075
176100,-14888503.873001354,21394536.187900964,-4703341.284965998
176130,-14860120.28432351,21432626.904261176,-4610653.059576571
176160,-14831401.977430396,21470464.160721015,-4517875.7774178
176190,-14802351.141289953,21508044.963605784,-4425011.216273454
176220,-14772969.991261419,21545366.338373188,-4332061.156212086
176250,-14743260.7689307,21582425.32984788,-4239027.379553052
176280,-14713225.741942836,21619219.0024553,-4145911.670832356
176310,-14682867.203833254,21655744.440453354,-4052715.816768436
176340,-14652187.473856337,21691998.74816318,-3959441.60622792
176370,-14621188.8968122,21727979.050198104,-3866090.830191163
176400,-23520124.257840805,11546690.791108705,-3772665.003496405
176430,-23510456.905646972,11593185.801632132,-3679166.4680731283
176460,-23500378.369211614,11639592.093524782,-3585596.7525028763
176490,-23489889.369195312,11685906.026085291,-3491957.655881374
176520,-23478990.658314466,11732123.964825362,-3398250.9792448464
176550,-23467683.021290924,11778242.281752504,-3304478.5255351528
176580,-23455967.274798784,11824257.355653178,-3210642.099564753
176610,-23443844.267409023,11870165.572374837,-3116743.507981645
176640,-23431314.879531275,11915963.32510805,-3022784.559234233
176670,-23418380.023353674,11961647.014667444,-2928767.063535991
176700,-23405040.642779533,12007213.049773024,-2834692.8328302433
176730,-23391297.713361964,12052657.847330477,-2740563.6807546546
176760,-23377152.242235985,12097977.8327109,-2646381.422605796
176790,-23362605.268048048,12143169.440030089,-2552147.875303567
176820,-23347657.86088305,12188229.11242743,-2457864.8573555183
176850,-23332311.122188915,12233153.302344093,-2363534.188821153
176880,-23316566.184698947,12277938.47180013,-2269157.6912761
176910,-23300424.212351266,12322581.092671787,-2174737.1877762205
176940,-23283886.40020618,12367077.646967435,-2080274.5028216732
176970,-23266953.974360816,12411424.627103355,-1985771.4623208693
177000,-23249628.191861704,12455618.536178105,-1891229.8935543417
177030,-23231910.340614397,12499655.888247013,-1796651.6251385605
177060,-23213801.73929103,12543533.208595354,-1702038.4869897137
177090,-23195303.73723546,12587247.034010706,-1607392.3102873198
177120,-23176417.714365605,12630793.913055135,-1512714.9274378684
177150,-23157145.08107388,12674170.406335697,-1418008.172038307
177180,-23137487.278124865,12717373.086774798,-1323273.878839524
177210,-23117445.776550744,12760398.539879167,-1228513.883709722
177240,-23097022.077544156,12803243.364008637,-1133730.0235977275
177270,-23076217.71234892,12845904.170643196,-1038924.1364962481
177300,-23055034.242148235,12888377.584649567,-944098.0614050595
