time_sow,X_m,Y_m,Z_m
172800,15257854.104123723,-7561584.189987013,20677428.98845226
172830,15236577.858039953,-7518662.757670679,20710898.160636354
172860,15215685.391999591,-7475560.475295154,20743980.84707772
172890,15195178.316641761,-7432280.713354974,20776676.502686076
172920,15175058.21294076,-7388826.855845033,20808984.58960804
172950,15155326.63209371,-7345202.3000011,20840904.577231016
172980,15135985.095410235,-7301410.456039721,20872435.942186825
173010,15117035.09420469,-7257454.746897126,20903578.168355286
173040,15098478.089690514,-7213338.607967148,20934330.746867724
173070,15080315.512876917,-7169065.486838464,20964693.17611025
173100,15062548.76446781,-7124638.843031032,20994664.961727004
173130,15045179.214763092,-7080062.147731551,21024245.61662328
173160,15028208.203562228,-7035338.883528353,21053434.66096844
173190,15011637.040070085,-6990472.544145341,21082231.622198854
173220,14995467.002805132,-6945466.634175442,21110636.035020582
173250,14979699.339509938,-6900324.668813001,21138647.441412035
173280,14964335.267064063,-6855050.1735857045,21166265.390626483
173310,14949375.971399104,-6809646.684085918,21193489.439194422
173340,14934822.607416324,-6764117.745700993,21220319.150925905
173370,14920676.298906408,-6718466.913343284,21246754.09691264
173400,14906938.138471592,-6672697.751179572,21272793.855530083
173430,14893609.187450359,-6626813.832359398,21298438.012439348
173460,14880690.475844145,-6580818.738743499,21323686.16058903
173490,14868183.002246702,-6534716.060631129,21348537.900216885
173520,14856087.733775638,-6488509.396487134,21372992.838851474
173550,14844405.606006373,-6442202.352668498,21397050.591313567
173580,14833137.522908553,-6395798.543150175,21420710.77971755
173610,14822284.356784642,-6349301.589250783,21443973.033472653
173640,14811846.948211089,-6302715.119357525,21466836.9892841
173670,14801826.105981743,-6256042.76865082,21489302.291154116
173700,14792222.60705375,-6209288.1788285235,21511368.59038285
173730,14783037.196495673,-6162454.997829708,21533035.54556917
173760,14774270.587438185,-6115546.879558194,21554302.822611347
173790,14765923.461027078,-6068567.4836053625,21575170.094707653
173820,14757996.466378573,-6021520.474973162,21595637.042356797
173850,14750490.220537167,-5974409.523796398,21615703.353358317
173880,14743405.308435764,-5927238.305064866,21635368.7228128
173910,14736742.282858312,-5880010.49834517,21654632.85312205
173940,14730501.664404677,-5832729.78750244,21673495.453989074
173970,14724683.941458132,-5785399.860421497,21691956.242418066
174000,14719289.570154965,-5738024.408728269,21710014.942714166
