time_sow,X_m,Y_m,Z_m
172800,-20576478.68634308,-10571456.296290671,13006691.696651975
172830,-20628190.044122167,-10568185.233477952,12929544.261960316
172860,-20679869.841495857,-10564461.311546404,12852148.669485286
172890,-20731514.165434893,-10560284.849884138,12774506.436239092
172920,-20783119.106116585,-10555656.202110747,12696619.08359068
172950,-20834680.75722321,-10550575.756044002,12618488.137234043
172980,-20886195.216240063,-10545043.933663888,12540115.127156518
173010,-20937658.58475312,-10539061.191074334,12461501.587606996
173040,-20989066.968746237,-10532628.018462256,12382649.057064092
173070,-21040416.47889805,-10525744.940053903,12303559.078204237
173100,-21091703.2308784,-10518412.51406844,12224233.197869837
173130,-21142923.345644206,-10510631.332669534,12144672.967037154
173160,-21194072.94973495,-10502402.021913774,12064879.940784387
173190,-21245148.175567698,-10493725.241696678,11984855.678259565
173220,-21296145.161731433,-10484601.685696263,11904601.7426484
173250,-21347060.05328092,-10475032.08131404,11824119.701142117
173280,-21397889.002030026,-10465017.18961333,11743411.124905225
173310,-21448628.166844472,-10454557.805254847,11662477.589043329
173340,-21499273.71393379,-10443654.756430335,11581320.6725707
173370,-21549821.81714282,-10432308.904793067,11499941.958378011
173400,-21600268.658242527,-10420521.14538596,11418343.033199929
173430,-21650610.427220024,-10408292.40656735,11336525.48758263
173460,-21700843.322567943,-10395623.649934147,11254490.915851375
173490,-21750963.55157309,-10382515.870242376,11172240.916077968
173520,-21800967.33060444,-10368970.095325202,11089777.090048185
173550,-21850850.885400113,-10354987.386008726,11007101.043229189
173580,-21900610.45135378,-10340568.836024959,10924214.38473691
173610,-21950242.273800243,-10325715.571922407,10841118.727303324
173640,-21999742.608299956,-10310428.752974395,10757815.68724377
173670,-22049107.720923014,-10294709.57108447,10674306.884424224
173700,-22098333.888531946,-10278559.25068992,10590593.942228476
173730,-22147417.399063896,-10261979.048662227,10506678.4875253
173760,-22196354.551811613,-10244970.254205622,10422562.150635678
173790,-22245141.657703664,-10227534.188752856,10338246.565299848
173820,-22293775.039583717,-10209672.205858551,10253733.368644377
173850,-22342251.032488633,-10191385.691090468,10169024.201149262
173880,-22390565.98392581,-10172676.061917813,10084120.70661493
173910,-22438716.25414925,-10153544.767597798,9999024.53212921
173940,-22486698.21643483,-10133993.28905911,9913737.32803432
173970,-22534508.25735424,-10114023.138783755,9828260.74789375
174000,-22582142.777048104,-10093635.860685699,9742596.448459234
174030,-22629598.189497735,-10072833.029987948,9656746.08963758
174060,-22676870.922795925,-10051616.253096793,9570711.334457511
174090,-22723957.419416606,-10029987.167473689,9484493.849036505
174120,-22770854.136483163,-10007947.441505224,9398095.302547634
174150,-22817557.54603577,-9985498.774370221,9311517.367186232
174180,-22864064.135297332,-9962642.895905111,9224761.718136733
174210,-22910370.406938385,-9939381.566466369,9137830.03353938
174240,-22956472.879340533,-9915716.576791327,9050723.994456915
174270,-23002368.0868588,-9891649.747856267,8963445.284841243
174300,-23048052.58008263,-9867182.930732219,8875995.591500131
174330,-23093522.926095523,-9842318.006438967,8788376.604063831
174360,-23138775.708733402,-9817056.885796372,8700590.01495171
174390,-23183807.528841704,-9791401.50927357,8612637.519338803
174420,-23228615.00453095,-9765353.846836034,8524520.81512249
174450,-23273194.771431,-9738915.897790566,8436241.60288894
174480,-23317543.482943956,-9712089.690627772,8347801.585879811
174510,-23361657.81049564,-9684877.282862497,8259202.469958642
174540,-23405534.443785507,-9657280.760872345,8170445.963577453
174570,-23449170.09103524,-9629302.239733733,8081533.777743205
174600,-23492561.479235828,-9600943.863055788,7992467.625984352
174630,-23535705.354393158,-9572207.802812453,7903249.224317188
174660,-23578598.481771998,-9543096.2591722,7813880.291212497
174690,-23621237.64613858,-9513611.460325826,7724362.547561807
174720,-23663619.652001612,-9483755.66231179,7634697.716644005
174750,-23705741.323851656,-9453531.14884017,7544887.524091613
174780,-23747599.50639893,-9422940.231113903,7454933.697857334
174810,-23789191.064809665,-9391985.247648317,7364837.968180327
174840,-23830512.884940583,-9360668.564088477,7274602.067552782
174870,-23871561.873571947,-9328992.573024888,7184227.730686111
174900,-23912334.958638847,-9296959.693806697,7093716.694477519
174930,-23952829.089460965,-9264572.372353148,7003070.697976241
174960,-23993041.2369704,-9231833.080963248,6912291.482349975
174990,-24032968.393938024,-9198744.318123233,6821380.790851268
175020,-24072607.575198054,-9165308.608312055,6730340.368783844
175050,-24111955.81787086,-9131528.501805205,6639171.963468928
175080,-24151010.181583893,-9097406.574476685,6547877.324211694
175110,-24189767.74869121,-9062945.42759851,6456458.202267525
175140,-24228225.624490857,-9028147.687638974,6364916.350808412
175170,-24266380.93744057,-8993016.00605891,6273253.524889279
175200,-24304230.839371722,-8957553.059105944,6181471.481414324
175230,-24341772.505701397,-8921761.547606891,6089571.979103404
175260,-24379003.13564263,-8885644.196758576,5997556.778458312
175290,-24415919.95241265,-8849203.755917015,5905427.641729178
175320,-24452520.203439545,-8812442.99838404,5813186.332880804
175350,-24488801.16056675,-8775364.721193083,5720834.617559001
175380,-24524760.120255817,-8737971.744892603,5628374.263056967
175410,-24560394.40378701,-8700266.913328424,5535807.038281606
175440,-24595701.35745839,-8662253.093423422,5443134.713719885
175470,-24630678.352782566,-8623933.174956279,5350359.061405274
175500,-24665322.78668159,-8585310.0703387,5257481.854884012
175530,-24699632.081680007,-8546386.714390023,5164504.869181567
175560,-24733603.686095763,-8507166.064111229,5071429.880768927
175590,-24767235.074229196,-8467651.098456658,4978258.66752909
175620,-24800523.74654985,-8427844.818104763,4884993.008723397
175650,-24833467.229881566,-8387750.24522637,4791634.68495793
175680,-24866063.077585272,-8347370.4232521225,4698185.47814997
175710,-24898308.869739663,-8306708.416638469,4604647.171494373
175740,-24930202.21332016,-8265767.310631223,4511021.549430039
175770,-24961740.742375407,-8224550.211028619,4417310.397606302
175800,-24992922.11820192,-8183060.243942205,4323515.502849446
175830,-25023744.029516388,-8141300.555556927,4229638.65312912
175860,-25054204.1926262,-8099274.311888768,4135681.637524866
175890,-25084300.351597566,-8056984.698541863,4041646.2461925265
