time_sow,X_m,Y_m,Z_m
172800,-20476045.800326273,1403400.31439922,16350841.376004878
172830,-20525132.244777545,1408259.8978285845,16290956.868574716
172860,-20574159.80539477,1413547.7663355637,16230748.940507734
172890,-20623124.765482627,1419263.3890279066,16170218.83706954
172920,-20672023.413753297,1425406.2022658382,16109367.809763297
172950,-20720852.044615358,1431975.6097148545,16048197.116298351
172980,-20769606.95846198,1438970.9824018534,15986708.020558745
173010,-20818284.46195868,1446391.6587729417,15924901.792571632
173040,-20866880.868330367,1454236.9447545297,15862779.70847554
173070,-20915392.4976479,1462506.1138161942,15800343.050488519
173100,-20963815.677113842,1471198.407037139,15737593.10687622
173130,-21012146.741347723,1480313.0331740957,15674531.171919806
173160,-21060382.032670464,1489849.1687325556,15611158.54588379
173190,-21108517.901388206,1499805.958040081,15547476.53498372
173220,-21156550.706075326,1510182.5133225136,15483486.451353807
173250,-21204476.81385673,1520977.914782215,15419189.613014407
173280,-21252292.6006894,1532191.2106792228,15354587.343839379
173310,-21299994.4516431,1543821.4174147127,15289680.973523414
173340,-21347578.761180237,1555867.5196170975,15224471.837549143
173370,-21395041.933434986,1568328.4702303186,15158961.277154276
173400,-21442380.382491402,1581203.1906049252,15093150.639298517
173430,-21489590.532660767,1594490.5705913985,15027041.276630439
173460,-21536668.818757955,1608189.468636185,14960634.547454273
173490,-21583611.68637692,1622298.711879747,14893931.815696526
173520,-21630415.592165157,1636817.0962574761,14826934.45087261
173550,-21677077.00409726,1651743.386602955,14759643.828053268
173580,-21723592.401747476,1667076.3167531472,14692061.327830944
173610,-21769958.276561186,1682814.589656963,14624188.336286135
173640,-21816171.13212539,1698956.8774851402,14556026.24495349
173670,-21862227.48443813,1715501.8217434185,14487576.45078797
173700,-21908123.862176854,1732448.0333872708,14418840.356130844
173730,-21953856.806965604,1749794.0929399114,14349819.368675608
173760,-21999422.87364117,1767538.5506117502,14280514.901433775
173790,-22044818.63051803,1785679.9264228512,14210928.372700708
173820,-22090040.65965215,1804216.710327373,14141061.206021216
173850,-22135085.557103667,1823147.3623405248,14070914.83015512
173880,-22179949.933198195,1842470.3126677908,14000490.679042803
173910,-22224630.412787132,1862183.9618360465,13929790.191770565
173940,-22269123.6355065,1882286.680827926,13858814.812536035
173970,-22313426.2560347,1902776.8112173062,13787565.990613315
174000,-22357534.94434884,1923652.6653080499,13716045.180318234
174030,-22401446.3859799,1944912.5262740664,13644253.840973426
174060,-22445157.282266427,1966554.6483026631,13572193.436873345
174090,-22488664.35060695,1988577.256739132,13499865.437249247
174120,-22531964.324711103,2010978.5482341265,13427271.316234
174150,-22575053.9548492,2033756.6908930605,13354412.55282697
174180,-22617930.00810057,2056909.8244278152,13281290.630858673
174210,-22660589.268600367,2080436.060310359,13207907.038955545
174240,-22703028.53778501,2104333.481928733,13134263.270504424
174270,-22745244.63463607,2128600.144745143,13060360.823617166
174300,-22787234.395922787,2153234.0764563233,12986201.201095067
174330,-22828994.676443037,2178233.2771554077,12911785.910393268
174360,-22870522.349262755,2203595.719496959,12837116.463585122
174390,-22911814.305953868,2229319.3488629786,12762194.377326442
174420,-22952867.456830677,2255402.083531849,12687021.172819732
174450,-22993678.73118467,2281841.8148486707,12611598.375778317
174480,-23034245.077517707,2308636.407398139,12535927.516390475
174510,-23074563.463773627,2335783.6991793495,12460010.129283467
174540,-23114630.877568286,2363281.5017821286,12383847.753487526
174570,-23154444.32641784,2391127.6005662726,12307441.932399753
174600,-23194000.83796549,2419319.7548418194,12230794.213748049
174630,-23233297.46020645,2447855.6980520897,12153906.149554897
174660,-23272331.26171134,2476733.1379578365,12076779.29610116
174690,-23311099.331847716,2505949.7568243956,11999415.213889819
174720,-23349598.781000067,2535503.2116096355,11921815.467609594
174750,-23387826.74078789,2565391.134154631,11843981.626098623
174780,-23425780.364282127,2595611.1313757775,11765915.262308033
174810,-23463456.826219782,2626160.785459131,11687617.953265479
174840,-23500853.323216755,2657037.654056117,11609091.280038621
174870,-23537967.073978867,2688239.270481525,11530336.827698592
174900,-23574795.319511123,2719763.143913067,11451356.1852834
174930,-23611335.323324982,2751606.7595929923,11372150.945761316
174960,-23647584.37164401,2783767.579031041,11292722.705994144
174990,-23683539.77360744,2816243.04020961,11213073.066700626
175020,-23719198.861471996,2849030.5577905513,11133203.632419562
175050,-23754558.990811765,2882127.5233234754,11053116.011473138
175080,-23789617.540716156,2915531.305456073,10972811.815930072
175110,-23824371.913985986,2949239.2501458786,10892292.661568722
175140,-23858819.53732751,2983248.680874141,10811560.167840293
175170,-23892957.86154467,3017556.8988605253,10730615.957831878
175200,-23926784.36172918,3052161.1832805965,10649461.658229519
175230,-23960296.537448846,3087058.79148377,10568098.899281198
175260,-23993491.912933618,3122246.959213933,10486529.314759957
175290,-24026368.037259966,3157722.900830513,10404754.541926721
