time_sow,X_m,Y_m,Z_m
172800,-1778725.306226762,-24963559.779479913,8667841.636662541
172830,-1817116.6247144928,-24989629.73293787,8581778.547340745
172860,-1855734.2693623612,-25015358.52990322,8495549.697467938
172890,-1894575.2360726483,-25040744.152607538,8409156.736939657
172920,-1933636.5030316664,-25065784.609687842,8322601.319165298
172950,-1972915.030940759,-25090477.93634405,8235885.10103653
172980,-2012407.7632495556,-25114822.194494396,8149009.742895678
173010,-2052111.626390249,-25138815.472928766,8061976.90850407
173040,-2092023.5300129978,-25162455.887460053,7974788.265010251
173070,-2132140.367223064,-25185741.581073403,7887445.482918046
173100,-2172459.014819066,-25208670.724073432,7799950.236054581
173130,-2212976.3335326486,-25231241.51422929,7712304.201538235
173160,-2253689.168269448,-25253452.176917635,7624509.059746534
173190,-2294594.348351103,-25275300.96526361,7536566.494283698
173220,-2335688.6877590767,-25296786.16027948,7448478.191948521
173250,-2376968.985378961,-25317906.071001396,7360245.842701757
173280,-2418432.025246641,-25338659.03462379,7271871.139633675
173310,-2460074.576795363,-25359043.416631736,7183355.7789314035
173340,-2501893.39510407,-25379057.610931076,7094701.459846264
173370,-2543885.221146849,-25398700.039976485,7005909.884660916
173400,-2586046.782043523,-25417969.15489717,6916982.758656498
173430,-2628374.791311608,-25436863.43562051,6827921.79007968
173460,-2670865.949118877,-25455381.39099345,6738728.690109524
173490,-2713516.9425373827,-25473521.558901664,6649405.172824482
173520,-2756324.4457987584,-25491282.506386433,6559952.955169011
173550,-2799285.1205499014,-25508662.829759456,6470373.756920357
173580,-2842395.6161103174,-25525661.154715158,6380669.300655173
173610,-2885652.569730089,-25542276.136441,6290841.311715929
173640,-2929052.6068490194,-25558506.459725328,6200891.518177472
173670,-2972592.341356877,-25574350.839063033,6110821.650813303
173700,-3016268.375853949,-25589808.018758934,6020633.443061917
173730,-3060077.301913593,-25604876.7730288,5930328.630992947
173760,-3104015.700344634,-25619555.906098146,5839908.953273282
173790,-3148080.141455156,-25633844.252298675,5749376.1511331545
173820,-3192267.1853174856,-25647740.67616239,5658731.968332044
173850,-3236573.3820331884,-25661244.072513398,5567978.151124605
173880,-3280995.2719997633,-25674353.366557408,5477116.448226405
173910,-3325529.3861773172,-25687067.513968825,5386148.610779742
173940,-3370172.246356812,-25699385.50097554,5295076.39231923
173970,-3414920.365428697,-25711306.34444131,5203901.548737427
174000,-3459770.247652063,-25722829.09194586,5112625.838250286
174030,-3504718.388924955,-25733952.82186255,5021251.021362617
174060,-3549761.2770551876,-25744676.643433608,4929778.860833483
174090,-3594895.39203182,-25754999.696843144,4838211.121641426
174120,-3640117.206297324,-25764921.15328762,4746549.570949696
174150,-3685423.1850204077,-25774440.215043962,4654795.978071448
174180,-3730809.786369571,-25783556.1155353,4562952.114434758
174210,-3776273.461786894,-25792268.1193943,4471019.753547652
174240,-3821810.656262842,-25800575.522524025,4379000.670963072
174270,-3867417.8086113585,-25808477.652156428,4286896.644243709
174300,-3913091.3517456003,-25815973.86690841,4194709.452926858
174330,-3958827.7129540965,-25823063.556835406,4102440.878489082
174360,-4004623.314177476,-25829746.143482618,4010092.7043109806
174390,-4050474.5722857704,-25836021.0799337,3917666.715641727
174420,-4096377.899355838,-25841887.850857098,3825164.699563658
174450,-4142329.7029493744,-25847345.9725499,3732588.4449567576
174480,-4188326.386391735,-25852394.992979202,3639939.742463033
