time_sow,X_m,Y_m,Z_m
172800,-11240341.101849772,-21566113.459254332,10762477.729345296
172830,-11253746.934324773,-21519235.91527151,10845724.216053413
172860,-11266742.890716951,-21472244.442075133,10928763.844398139
172890,-11279328.027982306,-21425142.697446678,11011595.066456107
172920,-11291501.435144551,-21377934.346912295,11094216.33879674
172950,-11303262.233356625,-21330623.06346034,11176626.122508347
172980,-11314609.575960163,-21283212.527258005,11258822.883224111
173010,-11325542.648541827,-21235706.425367974,11340805.091147916
173040,-11336060.668987688,-21188108.451464314,11422571.221080128
173070,-11346162.887534704,-21140422.305548202,11504119.752443189
173100,-11355848.586820181,-21092651.693663068,11585449.169307077
173130,-11365117.08192846,-21044800.327609442,11666557.9604147
173160,-11373967.720434785,-20996871.924659736,11747444.61920714
173190,-11382399.882447418,-20948870.207272224,11828107.643848741
173220,-11390412.98064664,-20900798.902805135,11908545.537252123
173250,-11398006.460321542,-20852661.74323029,11988756.807103049
173280,-11405179.799404036,-20804462.464846633,12068739.965885166
173310,-11411932.50850093,-20756204.80799327,12148493.530904613
173340,-11418264.130922802,-20707892.51676263,12228016.024314532
173370,-11424174.242710698,-20659529.338713296,12307305.973139431
173400,-11429662.452660518,-20611119.024582565,12386361.909299415
173430,-11434728.402344495,-20562665.327999122,12465182.369634336
173460,-11439371.766130574,-20514172.00519529,12543765.895927751
173490,-11443592.251198731,-20465642.81471961,12622111.034930825
173520,-11447389.597555459,-20417081.51714887,12700216.338386036
173550,-11450763.578045227,-20368491.874800414,12778080.363050843
173580,-11453713.998359669,-20319877.651444327,12855701.670721125
173610,-11456240.697044186,-20271242.612015594,12933078.828254575
173640,-11458343.54550213,-20222590.5223263,13010210.40759394
173670,-11460022.447996324,-20173925.148777857,13087094.985790119
173700,-11461277.341648247,-20125250.258073308,13163731.145025188
173730,-11462108.19643465,-20076569.616929665,13240117.472635195
173760,-11462515.015181638,-20027886.991790406,13316252.561132977
173790,-11462497.833556207,-19979206.148538146,13392135.008230705
173820,-11462056.720055506,-19930530.852207247,13467763.41686239
173850,-11461191.775993492,-19881864.866696775,13543136.395206233
173880,-11459903.13548486,-19833211.954483658,13618252.556706872
173910,-11458190.965426732,-19784575.876336023,13693110.520097455
173940,-11456055.465477977,-19735960.391026635,13767708.909421641
173970,-11453496.868035685,-19687369.25504677,13842046.354055438
174000,-11450515.438209571,-19638806.22232022,13916121.488728939
174030,-11447111.47379338,-19590275.043917824,13989932.95354786
174060,-11443285.305234391,-19541779.467772003,14063479.39401511
174090,-11439037.295600139,-19493323.23839183,14136759.461052021
174120,-11434367.840542492,-19444910.0965785,14209771.811019655
174150,-11429277.368259784,-19396543.77914102,14282515.105739832
174180,-11423766.339456122,-19348228.018612355,14354988.012516094
174210,-11417835.247298162,-19299966.542966142,14427189.204154583
174240,-11411484.617369637,-19251763.075333722,14499117.358984679
174270,-11404715.007623492,-19203621.33372155,14570771.160879647
174300,-11397527.008331388,-19155545.03072929,14642149.299277041
174330,-11389921.242030866,-19107537.8732683,14713250.469199022
174360,-11381898.363470059,-19059603.562280662,14784073.371272607
174390,-11373459.059550017,-19011745.792458817,14854616.711749675
174420,-11364604.049264565,-18963968.25196565,14924879.20252695
174450,-11355334.083637767,-18916274.62215531,14994859.561165806
174480,-11345649.945659023,-18868668.577294543,15064556.510911928
174510,-11335552.45021569,-18821153.784284696,15133968.780714937
174540,-11325042.444023289,-18773733.902384415,15203095.105247743
174570,-11314120.805553494,-18726412.58293291,15271934.22492591
174600,-11302788.44495964,-18679193.469073925,15340484.88592678
174630,-11291046.303999724,-18632080.195480622,15408745.8402086
174660,-11278895.355957123,-18585076.38808099,15476715.84552936
174690,-11266336.605559185,-18538185.663784012,15544393.665465662
174720,-11253371.08889313,-18491411.6302067,15611778.069431333
174750,-11239999.873319648,-18444757.885401983,15678867.832696
174780,-11226224.057384541,-18398228.017587125,15745661.736403508
174810,-11212044.770727452,-18351825.60487336,15812158.567590179
174840,-11197463.173988733,-18305554.214996096,15878357.119202992
174870,-11182480.458713649,-18259417.405046143,15944256.190117627
174900,-11167097.847254705,-18213418.72120177,16009854.585156353
174930,-11151316.592671353,-18167561.698461577,16075151.115105804
174960,-11135137.978627259,-18121849.860378675,16140144.596734669
174990,-11118563.319285816,-18076286.7187953,16204833.852811173
175020,-11101593.959202945,-18030875.773578797,16269217.712120498
175050,-11084231.273217766,-17985620.512358416,16333295.00948206
175080,-11066476.666341063,-17940524.41026317,16397064.585766649
175110,-11048331.573641427,-17895590.9296607,16460525.287913447
175140,-11029797.460129334,-17850823.519897223,16523675.968946913
175170,-11010875.820638541,-17806225.61703856,16586515.487993596
175200,-10991568.179706097,-17761800.64361208,16649042.710298704
175230,-10971876.09144921,-17717552.008350052,16711256.507242681
175260,-10951801.139440611,-17673483.10593384,16773155.75635755
175290,-10931344.936581291,-17629597.316739485,16834739.3413432
