time_sow,X_m,Y_m,Z_m
172800,13896243.702222066,-7156823.878851069,-21476237.852365997
172830,13939379.545613585,-7130413.1403828915,-21457585.05849761
172860,13982744.928635828,-7104380.91404628,-21438521.554394998
172890,14026336.543270087,-7078729.20027113,-21419047.724373877
172920,14070151.064195465,-7053459.97041809,-21399163.960561432
172950,14114185.149044223,-7028575.166629104,-21378870.662887353
172980,14158435.438658414,-7004076.701680391,-21358168.23907471
173010,14202898.557347717,-6979966.458837697,-21337057.104630757
173040,14247571.113148553,-6956246.291713668,-21315537.682837483
173070,14292449.69808456,-6932918.024127453,-21293610.404742114
173100,14337530.88842791,-6909983.449966978,-21271275.70914741
173130,14382811.244962178,-6887444.333053177,-21248534.04260185
173160,14428287.313246284,-6865302.407006388,-21225385.859389655
173190,14473955.623879354,-6843559.375115643,-21201831.621520683
173220,14519812.692766955,-6822216.910209799,-21177871.79872016
173250,14565855.021388356,-6801276.65453115,-21153506.868418306
173280,14612079.09706489,-6780740.219611272,-21128737.31573977
173310,14658481.393229187,-6760609.186149673,-21103563.633492965
173340,14705058.369695783,-6740885.103894172,-21077986.322159234
173370,14751806.472932441,-6721569.491524107,-21052005.889881887
173400,14798722.136332639,-6702663.836535802,-21025622.852455087
173430,14845801.78048893,-6684169.595130413,-20998837.733312625
173460,14893041.813467428,-6666088.192104078,-20971651.063516505
173490,14940438.631082974,-6648421.02074067,-20944063.381745435
173520,14987988.617175419,-6631169.442706898,-20916075.23428315
173550,15035688.143886723,-6614334.787949714,-20887687.175006595
173580,15083533.571938943,-6597918.354596244,-20858899.76537399
173610,15131521.25091299,-6581921.408856324,-20829713.574412763
173640,15179647.519528367,-6566345.184927085,-20800129.178707276
173670,15227908.705923554,-6551190.884900433,-20770147.162386514
173700,15276301.12793729,-6536459.678672603,-20739768.11711155
173730,15324821.09339058,-6522152.70385646,-20708992.642062906
173760,15373464.900369368,-6508271.065696234,-20677821.343927827
173790,15422228.837508082,-6494815.8369844835,-20646254.83688728
173820,15471109.18427378,-6481788.057981869,-20614293.742603004
173850,15520102.211250912,-6469188.73633928,-20581938.690204237
173880,15569204.180426847,-6457018.847022492,-20549190.316274468
173910,15618411.345478091,-6445279.332239043,-20516049.26483792
173940,15667719.952056862,-6433971.101368202,-20482516.18734599
173970,15717126.238078462,-6423095.030893002,-20448591.74266354
174000,15766626.434009217,-6412651.964334768,-20414276.597054977
174030,15816216.763154868,-6402642.712190422,-20379571.42417031
174060,15865893.44194945,-6393068.051872259,-20344476.905031014
174090,15915652.680244867,-6383928.727650041,-20308993.728015743
174120,15965490.681600742,-6375225.450595817,-20273122.588845942
174150,16015403.643574793,-6366958.898531346,-20236864.19057135
174180,16065387.758013666,-6359129.71597784,-20200219.24355529
174210,16115439.211344192,-6351738.514108364,-20163188.4654599
174240,16165554.18486496,-6344785.870702848,-20125772.58123123
174270,16215728.855038319,-6338272.330105524,-20087972.32308414
174300,16265959.393782664,-6332198.403185114,-20049788.430487152
174330,16316241.968765153,-6326564.567297237,-20011221.65014711
174360,16366572.743694589,-6321371.266249825,-19972272.735993758
174390,16416947.878614692,-6316618.910270616,-19932942.449164134
174420,16467363.530197525,-6312307.875977693,-19893231.557986867
174450,16517815.852037266,-6308438.506352137,-19853140.83796637
174480,16568300.994944088,-6305011.110713596,-19812671.071766846
174510,16618815.107238254,-6302025.964698311,-19771823.049196206
174540,16669354.335044436,-6299483.310239574,-19730597.567189857
174570,16719914.822586114,-6297383.355550919,-19688995.429794334
174600,16770492.712480068,-6295726.275111941,-19647017.44815084
174630,16821084.146031037,-6294512.20965656,-19604664.440478656
174660,16871685.26352652,-6293741.266163624,-19561937.23205838
174690,16922292.204531368,-6293413.517850797,-19518836.655215107
174720,16972901.108182658,-6293529.004170327,-19475363.54930143
174750,17023508.113484584,-6294087.7308075,-19431518.760680333
174780,17074109.35960304,-6295089.66968216,-19387303.142707985
174810,17124700.986160547,-6296534.758952216,-19342717.555716373
174840,17175279.133530855,-6298422.903019955,-19297762.866995804
174870,17225839.943133574,-6300753.972540986,-19252439.950777333
174900,17276379.55772864,-6303527.804435767,-19206749.688215032
174930,17326894.121710725,-6306744.201903487,-19160692.967368145
