time_sow,X_m,Y_m,Z_m
172800,20868881.174138535,1417342.211779626,16470009.895464627
172830,20917914.58033825,1415333.2227330767,16409892.852700684
172860,20966931.37678174,1412895.4250032343,16349463.847873455
172890,21015927.874090824,1410028.9834649768,16288724.073140925
172920,21064900.384658612,1406734.0951917637,16227674.726193132
172950,21113845.222928934,1403010.9894355405,16166317.010226836
172980,21162758.705675676,1398859.9276039079,16104652.133920018
173010,21211637.152281735,1394281.2032354102,16042681.311406353
173040,21260476.88501777,1389275.1419719271,15980405.762249617
173070,21309274.2293207,1383842.1015290786,15917826.711417975
173100,21358025.514071777,1377982.471663734,15854945.389258249
173130,21406727.071874406,1371696.6741393134,15791763.031470098
173160,21455375.239331577,1364985.1626890767,15728280.87908015
173190,21503966.35732291,1357848.4229762536,15664500.178416004
173220,21552496.77128135,1350286.972552387,15600422.18108022
173250,21600962.831469372,1342301.3608129453,15536048.143924264
173280,21649360.89325477,1333892.168950716,15471379.329022324
173310,21697687.31738605,1325060.009906765,15406417.003645036
173340,21745938.47026722,1315805.528318867,15341162.440233307
173370,21794110.724232182,1306129.4004679322,15275616.916371891
173400,21842200.45781856,1296032.334221447,15209781.714762965
173430,21890204.056040976,1285515.0689752568,15143658.123199679
173460,21938117.91066377,1274578.3755924106,15077247.43453961
173490,21985938.420473177,1263223.0563400742,15010550.946678158
173520,22033661.99154879,1251449.9448236953,14943569.96252187
173550,22081285.037534587,1239259.9059189968,14876305.789961725
173580,22128803.979909074,1226653.8357019555,14808759.741846366
173610,22176215.248254973,1213632.6613758355,14740933.135955192
173640,22223515.280528113,1200197.3411962967,14672827.294971539
173670,22270700.523325656,1186348.86439408,14604443.546455666
173700,22317767.43215356,1172088.2510955632,14535783.222817734
173730,22364712.471693385,1157416.552240435,14466847.661290755
173760,22411532.1160682,1142334.8494978268,14397638.203903439
173790,22458222.84910786,1126844.255179746,14328156.197453005
173820,22504781.164613348,1110945.9121520668,14258402.993477963
173850,22551203.566620376,1094640.993743673,14188379.948230771
173880,22597486.569662116,1077930.7036528233,14118088.422650525
173910,22643626.699031062,1060816.2758519426,14047529.782335553
173940,22689620.49104004,1043298.974489402,13976705.39751588
173970,22735464.493282285,1025380.0937895216,13905616.643025832
174000,22781155.26489062,1007060.9579502586,13834264.898276389
174030,22826689.37679568,988342.9210385494,13762651.547227602
174060,22872063.411983214,969227.3668835573,13690777.97836093
174090,22917273.965750363,949715.7089676037,13618645.584651517
174120,22962317.645960994,929809.3903151695,13546255.763540426
174150,23007191.073299944,909509.8833790254,13473609.91690685
174180,23051890.88152634,888818.6899251435,13400709.45104022
174210,23096413.717725784,867737.3409145791,13327555.77661232
174240,23140756.242561493,846267.3963838257,13254150.308649331
174270,23184915.13052435,824410.445322508,13180494.466503793
174300,23228887.070181876,802168.1055490915,13106589.673826609
174330,23272668.764426023,779542.0235848799,13032437.358538946
174360,23316256.930719875,756533.8745251447,12958038.952804083
174390,23359648.301343188,733145.3619087413,12883395.892999198
174420,23402839.623636678,709378.2175852899,12808509.619687201
174450,23445827.660245232,685234.2015805878,12733381.577588456
174480,23488609.18935983,660715.1019593617,12658013.215552416
174510,23531181.004958212,635822.7346866447,12582405.986529347
174540,23573539.917044368,610558.9434867287,12506561.347541895
174570,23615682.751886718,584925.5996999368,12430480.759656666
174600,23657606.352255046,558924.6021376988,12354165.68795572
174630,23699307.577656016,532557.8769353358,12277617.601508103
174660,23740783.30456757,505827.37740300223,12200837.973341277
174690,23782030.426671863,478735.0838745525,12123828.280412486
174720,23823045.855086744,451283.00355433393,12046590.003580233
174750,23863826.518596172,423473.1703622211,11969124.627575483
174780,23904369.36387892,395307.6447764635,11891433.640973069
174810,23944671.355736107,366788.5136746876,11813518.536162902
174840,23984729.477317188,337917.89017297514,11735380.809321167
174870,24024540.730344538,308697.9134630952,11657021.96038159
174900,24064102.135336652,279130.7486473629,11578443.493006524
174930,24103410.731829766,249218.58657229878,11499646.914558101
174960,24142463.57859806,218963.6436600024,11420633.736069338
