time_sow,X_m,Y_m,Z_m
172800,24525464.556034166,1859704.7731548976,-10951045.613611195
172830,24492424.211323798,1821692.6054406604,-11032663.927649114
172860,24459071.194711126,1783972.315321819,-11114079.417733802
172890,24425408.07915515,1746546.6012022626,-11195290.601920139
172920,24391437.460460685,1709418.1389719164,-11276296.002078021
172950,24357161.95708222,1672589.581812541,-11357094.143915033
172980,24322584.20992612,1636063.5600048369,-11437683.556999104
173010,24287706.882151194,1599842.6807379602,-11518062.774781162
173040,24252532.658967704,1563929.5279197814,-11598230.334617583
173070,24217064.24743475,1528326.6619902244,-11678184.777792681
173100,24181304.376256116,1493036.6197348628,-11757924.649541097
173130,24145255.795574557,1458061.9141013445,-11837448.499070114
173160,24108921.276764512,1423405.0340173747,-11916754.87958195
173190,24072303.612223394,1389068.4442100637,-11995842.348295914
173220,24035405.615161188,1355054.5850275997,-12074709.466470579
173250,23998230.119388785,1321365.8722623894,-12153354.79942579
173280,23960779.979104634,1288004.6969763236,-12231776.916564709
173310,23923058.068680048,1254973.4253276726,-12309974.391395764
173340,23885067.282443076,1222274.398399529,-12387945.801554441
173370,23846810.534460805,1189909.9320310457,-12465689.728825176
173400,23808290.75832047,1157882.3166495906,-12543204.75916302
173430,23769510.906908944,1126193.817105162,-12620489.482715342
173460,23730473.952190965,1094846.6725067953,-12697542.493843434
173490,23691182.88498601,1063843.0960608656,-12774362.391144048
173520,23651640.714743726,1033185.2749110349,-12850947.777470872
173550,23611850.469318166,1002875.3699803678,-12927297.259955877
173580,23571815.19474053,972915.5158155737,-13003409.450030766
173610,23531537.95499074,943307.8204326611,-13079282.963448169
173640,23491021.83176773,914054.3651650185,-13154916.420302864
173670,23450269.9242584,885157.2045133691,-13230308.445052912
173700,23409285.348905314,856618.3659976907,-13305457.666540775
173730,23368071.239173245,828439.850010775,-13380362.718014285
173760,23326630.745314453,800623.6296745865,-13455022.237147562
173790,23284967.03413275,773171.6506979279,-13529434.866061948
173820,23243083.28874642,746085.8312363215,-13603599.251346774
173850,23200982.70834993,719368.0617541187,-13677514.04408014
173880,23158668.50797452,693020.2048883978,-13751177.899849553
173910,23116143.918247692,667044.0953151789,-13824589.478772521
173940,23073412.185151506,641441.5396173652,-13897747.445517153
173970,23030476.56977982,616214.3161550993,-13970650.469322613
