time_sow,X_m,Y_m,Z_m
172800,-13612612.85100593,-7300252.292195503,-21559310.78968513
172830,-13608151.832358565,-7350328.496253182,-21545358.386515312
172860,-13604128.05313801,-7400441.216887252,-21530991.690177303
172890,-13600541.822372993,-7450586.625732042,-21516210.98631973
172920,-13597393.415560922,-7500760.891916264,-21501016.568569787
172950,-13594683.074647607,-7550960.182357107,-21485408.738526855
172980,-13592411.008009667,-7601180.662054401,-21469387.80575584
173010,-13590577.390439508,-7651418.494384855,-21452954.087780487
173040,-13589182.363132833,-7701669.841396455,-21436107.91007646
173070,-13588226.03367867,-7751930.864103199,-21418849.606064297
173100,-13587708.476052256,-7802197.722779335,-21401179.5171022
173130,-13587629.73061014,-7852466.577254245,-21383097.99247864
173160,-13587989.804088147,-7902733.587206962,-21364605.389404897
173190,-13588788.669601833,-7952994.912460778,-21345702.07300731
173220,-13590026.266649444,-8003246.713278004,-21326388.41631953
173250,-13591702.501117641,-8053485.150654346,-21306664.800274476
173280,-13593817.245289605,-8103706.386613576,-21286531.613696214
173310,-13596370.33785588,-8153906.584501859,-21265989.253291678
173340,-13599361.58392773,-8204081.909282001,-21245038.1236422
173370,-13602790.755053071,-8254228.527827671,-21223678.637194954
173400,-13606657.589234991,-8304342.609217422,-21201911.214254156
173430,-13610961.790952908,-8354420.325028347,-21179736.282972198
173460,-13615703.031186143,-8404457.849629896,-21157154.279340554
173490,-13620880.947440248,-8454451.360477122,-21134165.647180606
173520,-13626495.143775849,-8504397.03840377,-21110770.838134266
173550,-13632545.190839933,-8554291.06791528,-21086970.311654445
173580,-13639030.62589989,-8604129.637481226,-21062764.53499542
173610,-13645950.952880003,-8653908.939827625,-21038153.98320301
173640,-13653305.642400522,-8703625.172228763,-21013139.139104567
173670,-13661094.131819349,-8753274.536798745,-20987720.493298914
173700,-13669315.82527608,-8802853.24078282,-20961898.544146035
173730,-13677970.093738938,-8852357.496847866,-20935673.79775666
173760,-13687056.275053974,-8901783.5233728,-20909046.76798172
173790,-13696573.673996776,-8951127.5447386,-20882017.976401594
173820,-13706521.562327053,-9000385.791617459,-20854587.952315234
173850,-13716899.178845385,-9049554.501261745,-20826757.23272918
173880,-13727705.729452675,-9098629.917792479,-20798526.362346373
173910,-13738940.387212131,-9147608.292487076,-20769895.89355482
173940,-13750602.29241369,-9196485.88406662,-20740866.38641615
173970,-13762690.552641075,-9245258.95898251,-20711438.40865398
174000,-13775204.242841251,-9293923.791702585,-20681612.53564217
174030,-13788142.405396333,-9342476.664996674,-20651389.35039289
174060,-13801504.050198259,-9390913.870221116,-20620769.443544593
174090,-13815288.154725634,-9439231.707603144,-20589753.413349777
174120,-13829493.664123235,-9487426.486524206,-20558341.865662638
174150,-13844119.491284033,-9535494.525802612,-20526535.413926594
174180,-13859164.516933484,-9583432.153975654,-20494334.679161627
174210,-13874627.589716557,-9631235.709580664,-20461740.289951473
174240,-13890507.52628698,-9678901.541435562,-20428752.882430702
174270,-13906803.111399053,-9726426.008918464,-20395373.100271635
174300,-13923513.09800198,-9773805.482246362,-20361601.594671115
174330,-13940636.207336448,-9821036.342753235,-20327439.02433716
174360,-13958171.129033757,-9868114.983167112,-20292886.05547538
174390,-13976116.521217428,-9915037.807886176,-20257943.361775383
174420,-13994471.010607097,-9961801.233254075,-20222611.624396954
174450,-14013233.192624785,-10008401.687834503,-20186891.531956073
174480,-14032401.631503837,-10054835.612684239,-20150783.780510876
174510,-14051974.860399906,-10101099.461625876,-20114289.073547393
174540,-14071951.3815045,-10147189.701519173,-20077408.12196516
174570,-14092329.66616097,-10193102.812531386,-20040141.64406274
174600,-14113108.154982604,-10238835.288406845,-20002490.365523018
174630,-14134285.257973403,-10284383.636735115,-19964455.01939845
174660,-14155859.354650877,-10329744.37921841,-19926036.346096065
174690,-14177828.794171393,-10374914.051937645,-19887235.093362443
174720,-14200191.895457862,-10419889.20561749,-19848052.016268432
174750,-14222946.947329462,-10464666.405890422,-19808487.877193846
174780,-14246092.208634056,-10509242.233559271,-19768543.445811905
174810,-14269625.90838264,-10553613.284858901,-19728219.499073632
174840,-14293546.245886086,-10597776.171716616,-19687516.821192052
174870,-14317851.390894275,-10641727.522011295,-19646436.203626294
174900,-14342539.483737415,-10685463.979831303,-19604978.44506552
174930,-14367608.63546965,-10728982.20573109,-19563144.35141273
174960,-14393056.92801483,-10772278.876986723,-19520934.735768426
174990,-14418882.414314574,-10815350.687849905,-19478350.418414153
175020,-14445083.118478581,-10858194.34980072,-19435392.226795904
175050,-14471657.035937097,-10900806.591799056,-19392060.99550735
175080,-14498602.133595418,-10943184.160534915,-19348357.56627296
175110,-14525916.349990992,-10985323.820676783,-19304282.78793104
175140,-14553597.595452271,-11027222.355119158,-19259837.516416516
175170,-14581643.75225982,-11068876.565228563,-19215022.614743706
175200,-14610052.674809802,-11110283.271087743,-19169838.95298886
175230,-14638822.189779323,-11151439.311738871,-19124287.408272654
